"source_id","label","url","original_draft_reference_date","release_verification_scope"
"1","S01 — EIP-4844: Shard Blob Transactions","https://eips.ethereum.org/EIPS/eip-4844","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"2","S02 — EIP-7691: Blob throughput increase","https://eips.ethereum.org/EIPS/eip-7691","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"3","S03 — Fusaka Mainnet Announcement","https://blog.ethereum.org/2025/11/06/fusaka-mainnet-announcement","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"4","S04 — EIP-8134: Hardfork Meta - BPO1","https://eips.ethereum.org/EIPS/eip-8134","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"5","S05 — EIP-8135: Hardfork Meta - BPO2","https://eips.ethereum.org/EIPS/eip-8135","2026.08.16","Protocol BPO2 target 14 and maximum 21 rechecked against EIP-8135 on 2026-09-06."
"6","S06 — EIP-7892: Blob Parameter Only Hardforks","https://eips.ethereum.org/EIPS/eip-7892","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"7","S07 — EIP-7918: Blob base fee bounded by execution cost","https://eips.ethereum.org/EIPS/eip-7918","2026.08.16","Execution-linked reserve specification rechecked on 2026-09-06."
"8","S08 — Blobscan Stats Overview","https://blobscan.com/stats","2026.08.16","Historical cumulative input retained in August draft; original response not preserved. Not independently re-observed."
"9","S09 — Total Blob Usage Size Stats","https://blobscan.com/stat/total-blob-usage-size","2026.08.16","Historical occupancy input retained in August draft; original response not preserved. Not independently re-observed."
"10","S10 — Blobscan: The Cost of Archiving Ethereum’s Blob Data","https://paragraph.com/@blobscan/blobscan-the-cost-of-archiving-ethereums-blob-data","2026.08.16","Published operator range 30000-35000/day rechecked on 2026-09-06; no underlying daily export."
"11","S11 — Blobscan API Documentation","https://api.blobscan.com/","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"12","S12 — Blob Analysis after Fusaka and BPO Updates","https://www.migalabs.io/blog/blog-post","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"13","S13 — Blob Analysis after Fusaka and BPO Updates — follow-up","https://ethresear.ch/t/blob-analysis-after-fusaka-and-bpo-updates/23853","2026.08.16","Original reliability finding and April 9 correction rechecked on 2026-09-06."
"14","S14 — Ethereum Blobs After Pectra: Cost Collapse, Capacity Gains, and L2 Impact","https://www.galaxy.com/insights/research/ethereum-blob-market-post-pectra","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"15","S15 — Ethereum Consensus Mainnet Configuration","https://github.com/ethereum/consensus-specs/blob/master/configs/mainnet.yaml","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"16","S16 — eth2 quick update no. 21","https://blog.ethereum.org/2020/11/27/eth2-quick-update-no-21","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"17","S17 — execution-specs tests@v20.0.0 release","https://github.com/ethereum/execution-specs/releases/tag/tests@v20.0.0","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"18","S18 — EIP-8138: Hardfork Meta - BPO3","https://eips.ethereum.org/EIPS/eip-8138","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"19","S19 — What Fusaka changed","https://www.growthepie.com/answers/what-fusaka-upgrade-changed","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
