record_id,producer,facility,state,claim_scope,motor_class,metric_family,native_value_low,native_value_high,native_unit,comparison_basis,baseline_value,target_value,target_year,status,readiness_level,capital_amount_usd_m,capital_type,possible_overlap_group,source_id,confidence,notes
C001,Northrop Grumman,Company-wide U.S. SRM operations,Multiple,Current propellant throughput,Mixed,energetics_mass_per_year,30000000,30000000,lb propellant/year,company-wide,,,2026 page,operational/current disclosure,4,,,NG-COMPANY-WIDE,S05,high,Room to scale; not equivalent to motor output.
C002,Northrop Grumman,Company-wide U.S. SRM operations,Multiple,Planned propellant throughput,Mixed,energetics_mass_per_year,50000000,50000000,lb propellant/year (nearly),company-wide,30000000,50000000,2028,planned/forward-looking,4,,,NG-COMPANY-WIDE,S05,medium-high,Derived increase is approximately 66.7%; “nearly” means 50M is an upper approximation.
C003,Northrop Grumman,Company-wide U.S. SRM operations,Multiple,Planned annual motor output,Mixed,motor_count_per_year,25000,,SRMs/year (more than),company-wide mixed product portfolio,,25000,2029,planned/forward-looking,4,,,NG-COMPANY-WIDE,S05,medium-high,"25% growth from 2028 implies an approximate 20,000 2028 comparison point, but “over” and mix uncertainty limit precision."
C004,Northrop Grumman,Allegany Ballistics Laboratory,West Virginia,Tactical SRM expansion,Tactical,multiplicative_change,3,3,x capacity,facility tactical capacity,1,3,,in progress/portfolio statement,4,,,NG-ABL,S05,medium,No absolute motor count disclosed.
C005,Northrop Grumman,Utah facilities,Utah,Large SRM production expansion,Large/strategic,multiplicative_change,2,2,x production,facility large SRM production,1,2,2025,company says complete,4,,,NG-UTAH,S05,high,Absolute output undisclosed.
C006,Northrop Grumman,Utah facilities,Utah,Propellant casting expansion,Large/strategic,multiplicative_change,3,3,x casting capability,facility casting capability,1,3,2025,company says complete,4,,,NG-UTAH,S05,high,Casting capability is not final delivered motor output.
C007,Northrop Grumman,ABL Plant III,West Virginia,Propellant mix increment,Tactical/mixed,percentage_change,15,15,% mix capacity increase,facility immediate-term mix capacity,100,115,2025,installed/company disclosure,4,,,NG-ABL,S05,high,Likely contained within broader ABL expansion; not additive.
C008,Northrop Grumman,ABL Plant V,West Virginia,Energetics expansion,Tactical/mixed,percentage_change,30,30,% energetics capacity increase,facility energetics capacity,100,130,2027,planned,4,,,NG-ABL,S05,medium-high,22 buildings and three 300-gallon mixers; likely overlaps company-wide 2028 target.
C009,Northrop Grumman,Elkton,Maryland,High-speed/hypersonic propulsion delivery expansion,High-speed/hypersonic,multiplicative_change,5,5,x delivery,facility product delivery,1,5,,in progress/portfolio statement,4,100,broader site investment,NG-ELKTON,S05,medium,No unit count or denominator disclosed.
C010,L3Harris / Aerojet Rocketdyne,Camden,Arkansas,Current annual motor output,"Mixed, palm-size through truck-size",motor_count_per_year,115000,,SRMs/year (more than),"single site, mixed product portfolio",,,2025,operational/current disclosure,4,,,L3-CAMDEN,S06,high,"Not comparable to Northrop 25,000 projection without product-mix normalization."
C011,L3Harris / Aerojet Rocketdyne,"Arkansas Advanced Propulsion Facilities, Camden",Arkansas,Large SRM manufacturing expansion,Medium/large,multiplicative_change,6,6,x large SRM capacity,large-motor capacity at Camden,1,6,,under construction,4,400,project investment (more than),L3-CAMDEN,S06,medium-high,"20+ buildings, 230,000 square feet; no absolute large-motor count."
C012,L3Harris / Aerojet Rocketdyne,Camden/Huntsville/Orange County,AR/AL/VA,DPA-backed modernization,Mixed,capital_commitment,215.6,215.6,USD million agreement,multi-site government funding,,,2023,awarded,4,215.6,DPA agreement,L3-MULTISITE,S07,high,Do not add mechanically to later project values.
C013,L3Harris / Aerojet Rocketdyne,Virginia Advanced Propulsion Facilities,Virginia,Manufacturing footprint expansion,Small/medium,facility_area_or_proxy,2,,x manufacturing space (more than),"256,000-square-foot current base",256000,,2031,planned,4,1000,project investment (more than),L3-VIRGINIA,S08,medium-high,"Space is a capacity proxy, not an annual output."
C014,L3Harris / Aerojet Rocketdyne,"AMF-South, Huntsville",Alabama,Inert component footprint expansion,Mixed,facility_area_or_proxy,130000,130000,additional square feet,inert component production,540000,670000,2026,operational expansion,4,25,company investment,L3-HUNTSVILLE,S09,high,Supports more than half of L3 SRM programs; not a direct energetic-output figure.
C015,L3Harris / Aerojet Rocketdyne,Camden and Huntsville,AR/AL,THAAD propulsion production framework,Large interceptor propulsion,multiplicative_change,4,4,x propulsion production,THAAD SRBM + LDACS production,1,4,,"framework, expected definitization 2026",4,,,L3-THAAD,S10,medium,Includes solid and liquid propulsion; not a motor-only count.
C016,L3Harris / Aerojet Rocketdyne,Camden,Arkansas,PAC-3 propulsion production framework,Medium interceptor propulsion,multiplicative_change,3,3,x propulsion products (nearly),SRM + ACM + lethality enhancer,1,3,,"framework, expected definitization 2026",4,,,L3-PAC3,S11,medium,"Mixed products; framework, not a definitized order."
C017,Anduril,"Mississippi Solid Rocket Motor Complex, McHenry",Mississippi,Tactical SRM annual capacity,Tactical,motor_count_per_year,6000,,tactical SRMs/year (more than),site capacity target,600,6000,2026,operational facility; target rate,3,75,private investment (more than),AND-MCHENRY,S13;S14,"high for target, medium for achieved rate","10x target from 600; no public evidence that 6,000 rate has been delivered."
C018,Anduril,"Mississippi Solid Rocket Motor Complex, McHenry",Mississippi,Test-fire evidence,Tactical/mixed,test_or_flight_milestone,700,,motors test-fired since Jan 2024 (more than),cumulative test events,0,700,2025,observed company disclosure,3,,,AND-MCHENRY,S14,high,Testing is not delivery.
C019,Anduril,"Denali production line, McHenry",Mississippi,Product-line annual capacity,Tactical/high-performance,motor_count_per_year,1200,,Denali units/year (more than),product line,,1200,2026,line in place/company claim,3,,,AND-MCHENRY,S15,medium,"Assumed to be within site capacity unless disclosed otherwise; not additive to 6,000."
C020,Anduril,McHenry,Mississippi,Named-program pathway: GLSDB replacement motor,Tactical,qualification_milestone,,,design/develop/qualify/produce selection,GLSDB/M26 replacement,,,2026,qualification/transition plan,2,,,AND-MCHENRY,S16,medium-high,"Selection and plan, not public proof of completed qualification."
C021,X-Bow Systems,Luling campus,Texas,Initial annual energetics output,Tactical-to-strategic capability claim,energetics_mass_per_year,1000000,1000000,lb energetics/year,facility initial target,,1000000,2026,commissioning/initial production target,2,40,"private capital (approximately), plus public co-investment",XBOW-LULING,S18,medium-high,System installation complete and initial operational testing in late 2025.
C022,X-Bow Systems,Luling campus,Texas,Scaled annual energetics output,Tactical-to-strategic capability claim,energetics_mass_per_year,3000000,3000000,lb energetics/year,facility 12-24 month target,1000000,3000000,2026-2027,planned/forward-looking,2,,,XBOW-LULING,S18,medium,Threefold target; output mix and qualification not disclosed.
C023,X-Bow Systems,Luling campus,Texas,Standard Missile-equivalent scenario,Standard Missile class,scenario_conversion,3000,3800,motor-equivalents/year,3M lb divided by company scenario motor count,,,scenario,"marketing scenario, not capacity unit",2,,,XBOW-LULING,S18,low as forecast; high as disclosed scenario,"Implies about 789-1,000 lb of energetics per assumed equivalent."
C024,X-Bow Systems,Luling campus,Texas,Tactical-equivalent scenario,Tactical,scenario_conversion,30000,50000,motor-equivalents/year,3M lb divided by company scenario motor count,,,scenario,"marketing scenario, not capacity unit",2,,,XBOW-LULING,S18,low as forecast; high as disclosed scenario,Implies about 60-100 lb of energetics per assumed equivalent.
C025,Ursa Major,Lynx line / Colorado operations,Colorado,Current production rate,2-22 inch mixed,motor_count_per_year,200,,motors/year (public figure; company also says hundreds),mixed adaptable line,,,2026,operational/current company disclosure,2,,,URSA-COLORADO,S20,medium,Article uses “hundreds” unless a precise 200 source is cited; 200 retained as conservative dataset anchor from company reporting.
C026,Ursa Major,Colorado operations,Colorado,Diameter and flight-test envelope,Small-to-Standard-Missile class,test_or_flight_milestone,11,11,successful live-fire flights,company-wide SRM work,,,2026,test evidence,2,,,URSA-COLORADO,S20,high,"Also reports static fires at 2.75, 5, 7, 10 and 13.5 inches."
C027,Ursa Major,Lynx pathfinder,Colorado,10-inch prototype pathfinder,Medium,qualification_milestone,25,25,USD million joint investment,prototype and manufacturing pathfinder,,,2026,completed prototype pathfinder,2,25,matched government/company investment,URSA-PATHFINDER,S21;S22,high,Static-fired prototype met stated objectives; not named-program qualification.
C028,Prometheus Energetics,Bloomfield campus,Indiana,Planned energetics capacity,Mixed,energetics_mass_no_time_basis,800,800,tons energetics capacity (time basis unstated),four planned production lines,,800,2027,under construction/pre-certification,1,175,partner capital committed (up to),PROM-BLOOMFIELD,S23,medium,Do not convert to annual pounds or motors; source does not define ton basis or time period.
C029,American Pacific Corporation,Cedar City,Utah,Ammonium perchlorate capacity expansion,Upstream input,percentage_change,50,,% AP capacity increase (more than),existing Cedar City production,100,150,2026,under construction/planned completion,4,100,parent-approved capital (up to),AMPAC-CEDAR,S24;S25,high,Improves throughput but not independent-source diversity.
C030,Firehawk Defense,Lawton production campus,Oklahoma,Propellant and motor production campus,Mixed,no_normalized_output,,,340 acres; output not disclosed,campus in development,,,,in development,1,,,FIREHAWK-LAWTON,S33,medium,Excluded from capacity totals.
C031,Firehawk Defense,Crawford integration facility,Mississippi,Integration acquisition,Mixed,no_normalized_output,,,636 acres; output not disclosed,agreement to acquire DCMA-rated site,,,,agreement/acquisition stage,1,,,FIREHAWK-CRAWFORD,S33,medium,Aspirational thousands-per-month statement lacks mix and achieved-rate evidence.
