population,threshold,unit,lower_pct,central_pct,upper_pct,basis
E. Serious commercial attempts,Any revenue,App,67.85,77.72,87.27000000000001,Modeled from the serious-attempt revenue-band calibration.
E. Serious commercial attempts,Any revenue,Developer,76.59,85.88,94.26,Modeled from the serious-attempt revenue-band calibration.
E. Serious commercial attempts,$100/month,App,35.23,46.51,58.53,Modeled survival curve anchored to founder survey and subscription cohorts.
E. Serious commercial attempts,$100/month,Developer,44.529999999999994,56.79,68.97999999999999,Modeled survival curve anchored to founder survey and subscription cohorts.
E. Serious commercial attempts,"$1,000/month",App,5.255374669490444,10.232853764617298,17.43522965752049,Monte Carlo denominator model anchored to RevenueCat 2026.
E. Serious commercial attempts,"$1,000/month",Developer,8.360258897371144,15.408261737906557,25.019874900428572,Monte Carlo denominator model anchored to RevenueCat 2026.
E. Serious commercial attempts,"$5,000/month",App,2.33,4.25,6.77,Modeled right-tail continuation; constrained by RevenueCat and Adapty milestones.
E. Serious commercial attempts,"$5,000/month",Developer,3.73,6.529999999999999,10.36,Modeled right-tail continuation; constrained by RevenueCat and Adapty milestones.
E. Serious commercial attempts,"$10,000/month",App,1.5699999999999998,2.92,4.6899999999999995,Modeled right-tail continuation; RevenueCat reports 4.6% ever-hit within two years in its selected cohort.
E. Serious commercial attempts,"$10,000/month",Developer,2.5,4.49,7.24,Modeled right-tail continuation; RevenueCat reports 4.6% ever-hit within two years in its selected cohort.
E. Serious commercial attempts,"$25,000/month",App,0.5499999999999999,1.1199999999999999,1.96,Modeled tail; no representative direct census.
E. Serious commercial attempts,"$25,000/month",Developer,0.885,1.728,3.036,Modeled tail; no representative direct census.
E. Serious commercial attempts,"$100,000/month",App,0.07100000000000001,0.242,0.52,Modeled extreme tail; highly sensitive to games and large publishers.
E. Serious commercial attempts,"$100,000/month",Developer,0.11900000000000001,0.368,0.792,Modeled extreme tail; highly sensitive to games and large publishers.
E. Serious commercial attempts,Full-time replacement income,App,1.27,2.98,5.319999999999999,"Owner profit >=$5,000/month before personal tax; not gross revenue."
E. Serious commercial attempts,Full-time replacement income,Developer,2.17,4.67,8.17,"Owner profit >=$5,000/month before personal tax; not gross revenue."
