cluster,prospect_name,prospect_url,contact_or_submission_url,fit_status,target_page,asset_angle,last_verified,approval_required,risk_boundary
ai-agent-systems,OpenAI developer community,https://community.openai.com/guidelines,https://community.openai.com/,ready_if_non_promotional,https://sulayman-bowles.dev/viralbench-codex-agent-harness,Versioned agent evaluation and replay evidence,2026-06-25,yes,Technical discussion only and never a link-only promotional post
ai-agent-systems,Search Engine Land,https://searchengineland.com/contact,https://searchengineland.com/contact,ready,https://sulayman-bowles.dev/research/ai-systems/the-first-ai-managers,Source-led distinction between live AI operations and simulations,2026-06-25,yes,No autonomy or ranking guarantee
ai-agent-systems,Search Engine Journal,https://www.searchenginejournal.com/writers-guidelines-for-search-engine-journal/,https://www.searchenginejournal.com/contact/,gated,https://sulayman-bowles.dev/research/ai-systems/replayable-traces-ai-agent-evaluation,Evaluation traces as inspectable evidence,2026-06-25,yes,Source pitch only because contributor access is invitation-gated
ai-agent-systems,SEOFOMO,https://hub.seofomo.co/,https://news.seofomo.co/submit-story/,ready_with_login,https://sulayman-bowles.dev/viralbench-codex-agent-harness,Practical AI agent evaluation harness,2026-06-25,yes,Moderated submission with ownership disclosure
ai-agent-systems,Detailed,https://detailed.com/,https://detailed.com/,research,https://sulayman-bowles.dev/research/ai-systems/the-first-ai-managers,Public evidence taxonomy for AI-run businesses,2026-06-25,yes,Research only until a legitimate editorial contact route exists
crawler-policy-engineering,Search Engine Land,https://searchengineland.com/contact,https://searchengineland.com/contact,ready,https://sulayman-bowles.dev/research/ai-crawlers/ai-search-crawler-policy,Source-backed GPTBot and OAI-SearchBot policy matrix,2026-06-25,yes,No AI citation or ranking claim
crawler-policy-engineering,Search Engine Journal,https://www.searchenginejournal.com/writers-guidelines-for-search-engine-journal/,https://www.searchenginejournal.com/contact/,gated,https://sulayman-bowles.dev/research/ai-crawlers/robots-txt-courtesy-not-access-control,Robots protocol versus access-control boundary,2026-06-25,yes,Source pitch only and no guest-post assumption
crawler-policy-engineering,SEOFOMO,https://hub.seofomo.co/,https://news.seofomo.co/submit-story/,ready_with_login,https://sulayman-bowles.dev/research/ai-crawlers/ai-search-crawler-policy,Public crawler identity and purpose source map,2026-06-25,yes,Moderated factual submission with ownership disclosure
crawler-policy-engineering,TechnicalSEO.com,https://technicalseo.com/tools/,https://technicalseo.com/,research,https://sulayman-bowles.dev/research/crawler-engineering/crawl-frontier-state-machine,Crawl frontier state and retry contract,2026-06-25,yes,Research only until a maintainer contact path is verified
crawler-policy-engineering,OpenAI developer community,https://community.openai.com/guidelines,https://community.openai.com/,ready_if_non_promotional,https://sulayman-bowles.dev/research/ai-crawlers/ai-search-crawler-policy,Search versus training crawler distinctions,2026-06-25,yes,Developer-relevant discussion only
technical-seo-graphs,Search Engine Land,https://searchengineland.com/contact,https://searchengineland.com/contact,ready,https://sulayman-bowles.dev/research/technical-seo/technical-seo-migration-release-gates,Executable migration release gates,2026-06-25,yes,No claim that the checklist guarantees rankings
technical-seo-graphs,Search Engine Journal,https://www.searchenginejournal.com/writers-guidelines-for-search-engine-journal/,https://www.searchenginejournal.com/contact/,gated,https://sulayman-bowles.dev/research/technical-seo/canonicalization-graph-consistency,Canonical signals as one directed graph,2026-06-25,yes,Source pitch only and no placement assumption
technical-seo-graphs,SEOFOMO,https://hub.seofomo.co/,https://news.seofomo.co/submit-story/,ready_with_login,https://sulayman-bowles.dev/research/technical-seo/internal-links-directed-retrieval-graph,Inspectable internal-link graph method,2026-06-25,yes,Moderated factual submission with no forced anchor
technical-seo-graphs,TechnicalSEO.com,https://technicalseo.com/tools/,https://technicalseo.com/,research,https://sulayman-bowles.dev/research/technical-seo/raw-html-rendered-dom-evidence,Raw HTML and rendered DOM evidence contract,2026-06-25,yes,Research only until a real submission route is verified
technical-seo-graphs,Detailed,https://detailed.com/,https://detailed.com/,research,https://sulayman-bowles.dev/research/technical-seo/structured-data-without-content-drift,Typed prevention of visible-content and JSON-LD drift,2026-06-25,yes,High-bar editorial research only
data-provenance,Search Engine Land,https://searchengineland.com/contact,https://searchengineland.com/contact,ready,https://sulayman-bowles.dev/research/search-console/technical-seo-public-data-infrastructure,SEO data pipeline with source provenance,2026-06-25,yes,No performance or traffic claim
data-provenance,Search Engine Journal,https://www.searchenginejournal.com/writers-guidelines-for-search-engine-journal/,https://www.searchenginejournal.com/contact/,gated,https://sulayman-bowles.dev/research/data-systems/audit-findings-derived-records,Audit findings derived from immutable observations,2026-06-25,yes,Source pitch only and no placement assumption
