source_id,title,publisher_or_origin,source_type,primary_or_secondary,url_or_identifier,publication_date,accessed_date,time_period_covered,claims_supported,important_definitions,limitations,notes
S01,Solid Rocket Motors: DOD and Industry Are Addressing Challenges to Minimize Supply Concerns,U.S. Government Accountability Office,government report landing page,primary analytical,https://www.gao.gov/products/gao-18-45,2017-10-26,2026-08-16,1995-2017,"Six-to-two U.S. manufacturer consolidation; estimated sub-tier decline from 5,000 to 1,000; DOD then believed demand sustained only two manufacturers","U.S. manufacturer; supplier across raw materials, components, subsystems",Historical baseline; does not describe 2026 entrant readiness,Core historical baseline.
S02,FTC Approves Modified Final Order Imposing Conditions on Northrop Grumman’s Acquisition of Solid Rocket Motor Supplier Orbital ATK,Federal Trade Commission,regulatory press release,primary,https://www.ftc.gov/news-events/news/press-releases/2018/12/ftc-approves-modified-final-order-imposing-conditions-northrop-grummans-acquisition-solid-rocket,2018-12-04,2026-08-16,2018,Non-discriminatory supply obligation and firewall imposed on Northrop SRM business,SRMs and related services; firewall,"Describes 2018 order, not 2026 disposition",Competition structure.
S03,FTC Seeks Public Comment on Petition to Modify Northrop Grumman Final Order,Federal Trade Commission,regulatory press release,primary,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-seeks-public-comment-petition-modify-northrop-grumman-final-order,2026-04-02,2026-08-16,2026,Northrop petitioned to set aside 2018 order; FTC opened public comment; Commission would vote after comment period,Petition; final consent order,No public final disposition on the case page as of research cutoff,Do not state that the order was removed.
S04,"Northrop Grumman and Orbital ATK, In the Matter of",Federal Trade Commission,case docket,primary,https://www.ftc.gov/legal-library/browse/cases-proceedings/181-0005-c-4652-northrop-grumman-orbital-atk-matter,2026-04-02,2026-08-16,2018-2026,Public case timeline and last-updated status,FTC Matter 181 0005; C-4652,Docket may update after cutoff,"Last updated April 2, 2026 at cutoff."
S05,Solid Rocket Motors: Delivering at Scale Today. Expanding Capacity for Tomorrow.,Northrop Grumman,company capability and expansion page,primary company disclosure,https://www.northropgrumman.com/who-we-are/the-facts/solid-rocket-motors-propulsion,2026,2026-08-16,2018-2029,"30M pounds propellant/year; >$1B invested since 2018; facility multipliers; nearly 50M pounds by 2028; >25,000 SRMs/year by 2029",Company-wide propellant capacity; SRM production; facility-specific multipliers,Forward-looking; product mix not disclosed; figures cannot be combined into a common motor equivalent,Most complete incumbent disclosure.
S06,L3Harris Breaks Ground on Arkansas Advanced Propulsion Facilities,L3Harris Technologies,company press release,primary company disclosure,https://www.l3harris.com/newsroom/press-release/2025/11/l3harris-breaks-ground-arkansas-advanced-propulsion-facilities,2025-11-18,2026-08-16,current-2027+,"Camden >115,000 motors/year across mixed sizes; AAPF sixfold large-motor capacity; >$400M; 230,000 square feet; 20+ buildings",Motors include palm-sized through truck-sized; large-motor capacity multiplier,Forward-looking; mixed motor count makes cross-company comparison invalid,Camden site disclosure.
S07,DoD Strengthens Supply Chain for Solid Rocket Motors,U.S. Department of Defense,government award release,primary,https://www.defense.gov/News/Releases/Release/Article/3362263/dod-strengthens-supply-chain-for-solid-rocket-motors/,2023-04-14,2026-08-16,2023 onward,"$215.6M agreement with Aerojet Rocketdyne for Camden, Huntsville and Orange County; production support for Javelin, Stinger and GMLRS",Agreement; facility modernization,Award amount overlaps later company project descriptions; not additive to every later capital figure,Government funding anchor for L3/Aerojet expansion.
S08,"L3Harris Announces Billion Dollar Expansion to Boost Solid Rocket Motor Production in Orange County, Virginia",L3Harris Technologies,company press release,primary company disclosure,https://www.l3harris.com/newsroom/press-release/2026/04/l3harris-announces-billion-dollar-expansion-orange-county-virginia,2026-04-15,2026-08-16,2026-2031,"More than $1B VAPF; more than double manufacturing space; 256,000 square feet current; mixing, grinding, casting, final assembly","Manufacturing space, not annual motor output",No annual output target; investment may include previously announced expansion,Capacity proxy only.
S09,L3Harris Continues Expansion of Solid Rocket Motor Facilities in Huntsville,L3Harris Technologies,company press release,primary company disclosure,https://www.l3harris.com/newsroom/press-release/2026/06/l3harris-continues-expansion-solid-rocket-motor-facilities,2026-06-01,2026-08-16,2026,"$25M; +130,000 square feet; ~670,000 square feet total; inert components for more than half of L3 programs",Inert component production,Not an energetic mixing/casting or annual output disclosure,Do not count square footage as motors.
S10,L3Harris Signs Framework to Quadruple THAAD Propulsion Production,L3Harris Technologies,company press release,primary company disclosure,https://www.l3harris.com/newsroom/press-release/2026/07/l3harris-signs-framework-quadruple-thaad-propulsion-production,2026-07-27,2026-08-16,2026-2033,Framework for seven-year contract to quadruple THAAD propulsion production; expected definitization later in 2026,Framework agreement versus definitized contract,Not yet a definitized contract at cutoff; includes solid boost motors and liquid divert systems,"Scenario/demand signal, not booked order."
