source_id,title,publisher_or_origin,source_type,primary_or_secondary,url_or_identifier,publication_date,accessed_date,time_period_covered,claims_supported,important_definitions,limitations,notes
S01,Publication of the Section 232 Report on NdFeB Permanent Magnets,"U.S. Department of Commerce, Bureau of Industry and Security / Federal Register",government report,primary,https://www.federalregister.gov/documents/2023/02/14/2023-03078/publication-of-a-report-on-the-effect-of-imports-of-neodymium-iron-boron-ndfeb-permanent-magnets-on,2023-02-14,2026-08-16,Report completed June 2022; demand baseline 2020-2030; industry data through 2021/2022,Magnet composition; production steps; 54-81% alloy-to-magnet recovery; U.S. demand forecast; direct versus embedded imports; demand-estimate limitations,Sintered versus bonded; total demand equals direct plus embedded demand; quantities called tons are metric unless noted,Industry state and project forecasts are stale relative to 2026; demand estimates are explicitly described as opaque and uncertain,"Load-bearing source for definitions, demand denominator, and material-flow sensitivity."
S02,Rare Earth Elements: Executive Summary,International Energy Agency,multilateral analytical report,secondary analytical,https://www.iea.org/reports/rare-earth-elements/executive-summary,2026,2026-08-16,Global market through early 2026; outlook to 2035,China concentration; uneven project pipeline; magnet manufacturing and metallisation bottlenecks; equipment constraints,"Magnet rare earths are Nd, Pr, Dy and Tb; project capacity presented on rare-earth-content basis",Global and aggregate; does not audit individual U.S. finished-magnet projects,Used to place the U.S. project stack inside the global bottleneck.
S03,"MP Materials Form 10-Q for quarter ended March 31, 2026",MP Materials / U.S. Securities and Exchange Commission,regulatory filing,primary,https://www.sec.gov/Archives/edgar/data/1801368/000180136826000029/mp-20260331.htm,2026,2026-08-16,Quarter ended 2026-03-31,"Independence 3,000 tpa target; 10X 7,000 tpa target; 2028 commissioning; staged commissioning and precursor production",Capacity after completion and scale; finished magnets versus precursor products,Forward-looking capacity; does not disclose sustained nameplate output,Primary capacity source for MP.
S04,MP Materials Reports Second Quarter 2026 Results,MP Materials,company operating update,primary,https://mpmaterials.com/news/mp-materials-reports-second-quarter-2026-results,2026-08-06,2026-08-16,Quarter ended 2026-06-30,Independence customer qualification deliveries; start-up activities ahead of commercial production; 10X construction acceleration,Qualification deliveries are not sustained commercial nameplate production,Unaudited quarterly operating update; product volumes not disclosed,Determines maturity bucket for Independence.
S05,USA Rare Earth Commissions Phase 1a Magnet Production at Stillwater,USA Rare Earth,company operating update,primary,https://investors.usare.com/news-releases/news-release-details/usa-rare-earth-achieves-major-operational-and-strategic,2026-03-26,2026-08-16,2026-2027 ramp targets,"Phase 1a commissioned; 600 tpa target by Q4 2026; 1,200 tpa combined Phase 1a/1b target in Q1 2027; customer orders",Commissioned line versus run-rate target,Forward-looking ramp targets; no sustained production volume disclosed,Primary status source for Stillwater.
S06,"USA Rare Earth Selects Blacksburg, South Carolina for Magnet and Metals Facility",USA Rare Earth,company project announcement,primary,https://investors.usare.com/news-releases/news-release-details/usa-rare-earth-selects-cherokee-county-south-carolina-new-rare,2026-06-02,2026-08-16,Project target through 2028,"Blacksburg 6,400 tpa; combined U.S. magnet capacity target 10,000 tpa; engineering/procurement underway; 2028 commissioning",Combined corporate capacity versus facility-specific capacity,Future project; financing and execution risk,"Used without double-counting the 6,400 facility and 10,000 corporate total."
S07,CHIPS Program Final Award and Loan Agreement with USA Rare Earth,National Institute of Standards and Technology / U.S. Department of Commerce,government funding announcement,primary,https://www.nist.gov/news-events/news/2026/06/department-commerces-chips-program-finalizes-definitive-agreement-usa-rare,2026-06-03,2026-08-16,2026 award; future buildout,"Up to $277 million incentives and $1.3 billion loan; support for 10,000 tpa magnets and 10,000 tpa metals/alloys",Up to; production capability; separate magnet and metal/alloy tonnages,Award size is not evidence of completed capacity or output,Corroborates USAR scale and funding status.
S08,eVAC South Carolina Facility Ships First U.S.-Made Rare Earth Magnets,eVAC Magnetics / VAC Group,company shipment announcement,primary,https://evac-magnetics.com/shared/eVAC-news-first-magnets,2025-12-12,2026-08-16,2025-2026 ramp,"First commercial shipment; 2,000 metric-ton annual capacity target; MP NdPr feedstock relationship",Shipment evidence versus annual output; capacity target,Does not disclose realized production volume or utilization,Commercial-shipment maturity evidence.
S09,eVAC Sumter Opening Ceremony and Operating Update,VAC Group,company operating update,primary,https://vacuumschmelze.com/Newsroom/evac-magnetics-holds-opening-ceremony-for-sumter-south-carolina-rare-earth-magnet-manufacturing-facility-n2902,2026-07-16,2026-08-16,Operating status through July 2026,"Commercial production since 2025; mass-production-grade automotive sintered magnets; about 2,000 metric-ton nameplate",Nameplate capacity and commercial production,Company disclosure; no plant utilization or yield data,Primary current status source for eVAC.
S10,Noveon Magnetics Completes $215 Million Series C,Noveon Magnetics,company financing and expansion announcement,primary,https://noveon.co/noveon-completes-series-c,2026-01-19,2026-08-16,Capacity as of January 2026,"Sintered magnet manufacturing; expansion beyond 2,000 tons per year",The source says tons without specifying short or metric tons,"No disclosed expanded-capacity number, realized output, or unit definition","Audit counts only the 2,000-ton baseline and models the unit ambiguity."
