brand_id,brand_name,aliases,primary_category,categories,consumer_brand_status,inclusion_status,austin_presence_status,austin_presence_type,address_or_base,service_area_summary,current_owner_type,current_platform_or_franchise_system,current_ultimate_owner_or_controller,ownership_interest,ownership_verification_status,evidence_rating,local_claim_type,franchise_flag,retained_consumer_brand_after_transaction,snapshot_date,presence_source_ids,ownership_source_ids,notes
B001,ABC Home & Commercial Services,,HVAC / plumbing / electrical,HVAC|plumbing|electrical|pest control,active,published_active,verified_current,Austin office / multi-service operator,Austin,Austin and surrounding Central Texas communities,Founder/family/local ownership,,Jenkins family / Bobby Jenkins,controlling family ownership stated; exact cap table not public,verified_current_chain,B,locally owned and operated; family owned,False,False,2026-07-26,S100,S100,
B002,Fox Service Company,,HVAC / plumbing / electrical,HVAC|plumbing|electrical,active,published_active,verified_current,Austin office / local brand,,Austin metro,Sponsor-backed platform,Southern Home Services,Gryphon Investors via North American Essential Home Services,Gryphon majority; management meaningful minority at holding-company level,verified_current_chain,A,retained Austin brand after acquisition,False,True,2026-07-26,S101,S002|S005|S006|S007,
B003,Precision Heating & Air,,HVAC,HVAC,active,published_active,verified_current,Austin office / local brand,,Austin metro,Sponsor-backed platform,Southern Home Services,Gryphon Investors via North American Essential Home Services,Gryphon majority; management meaningful minority at holding-company level,verified_current_chain,A,retained Austin brand after acquisition,False,True,2026-07-26,S102,S001|S005|S006|S007,
B004,Daniel’s Plumbing & Air Conditioning,,HVAC / plumbing,HVAC|plumbing,active,published_active,verified_current,current Southern brand page; consumer routing conflict,,Austin metro,Sponsor-backed platform,Southern Home Services,Gryphon Investors via North American Essential Home Services,Gryphon majority; management meaningful minority at holding-company level,verified_chain_brand_activity_conflict,A,retained Austin brand after acquisition,False,True,2026-07-26,S004,S003|S004|S005|S006|S007,"Southern’s current brand page and site map list Daniel’s. Consumer-facing routing/brand consolidation signals remain inconsistent, so the brand is counted as current-facing but flagged."
B005,"Radiant Plumbing, Air Conditioning & Electrical",,HVAC / plumbing / electrical,HVAC|plumbing|electrical,active,published_active,verified_current,Austin headquarters / local brand,,Austin and San Antonio markets,Sponsor-backed platform,T3 Services Group,The Riverside Company,investment/control percentage not publicly specified,verified_current_chain,A,retained Austin brand after investment,False,True,2026-07-26,S103,S008|S009|S010,
B006,"Stan’s Heating, Air, Plumbing & Electrical",,HVAC / plumbing / electrical,HVAC|plumbing|electrical,active,published_active,verified_current,Austin office / broad metro service area,,"Austin, Round Rock, Cedar Park, Pflugerville, Leander, Georgetown, Lakeway, Bee Cave, Manor, Buda, Kyle, Dripping Springs, Hutto and other suburbs",Sponsor-backed platform,The Master Trades Group,L Catterton,L Catterton control through Master Trades Group,verified_current_chain,A,retained Austin brand after acquisition,False,True,2026-07-26,S104,S011|S013|S014,
B007,Strand Brothers Service Experts,,HVAC / plumbing,HVAC|plumbing,active,published_active,verified_current,Austin service center,,Austin metro,Public-company owned,Service Experts / Enercare,Brookfield Infrastructure,wholly owned within Brookfield-controlled Enercare structure,verified_current_chain,A,retained local name within national platform,False,True,2026-07-26,S021,S020|S022,
B008,Service Wizard Heating & Air Conditioning,,HVAC / plumbing,HVAC|plumbing,active,published_active,verified_current,Austin/Hutto operation,,"Austin, Hutto and surrounding areas",Sponsor-backed platform,Champions Group Holdings,"Ultimate sponsor unresolved at snapshot; last closed sponsor Odyssey, Blackstone acquisition announced",platform acquisition verified; sponsor transfer pending/unconfirmed,verified_platform_ultimate_owner_pending,B,retained Austin brand after acquisition,False,True,2026-07-26,S025,S023|S024,"No public closing confirmation was located for the announced Blackstone transaction by the July 26, 2026 snapshot."
B009,"Abacus Plumbing, Air Conditioning & Electrical",,HVAC / plumbing / electrical,HVAC|plumbing|electrical,active,published_active,verified_current,Austin market branch,,Austin metro,Sponsor-backed platform,"Wrench Group, LLC",Leonard Green & Partners and management; TSG Consumer Partners and Oak Hill minority,Leonard Green and management majority; TSG and Oak Hill significant minority,verified_current_chain,A,retained consumer brand within platform,False,True,2026-07-26,S015,S015|S016|S017,
B010,Goettl Air Conditioning & Plumbing,,HVAC / plumbing,HVAC|plumbing,active,published_active,verified_current,Austin branch,,Austin metro,Sponsor-backed platform,Goettl Air Conditioning & Plumbing,Cortec Group,control percentage not publicly specified,verified_current_chain,B,national platform brand; Dayton Services rebranded,False,False,2026-07-26,S018,S019,
B011,ARS/Rescue Rooter Austin,,HVAC / plumbing,HVAC|plumbing,active,published_active,verified_current,Austin branch,,Austin metro,Sponsor-backed platform,"American Residential Services, LLC",GI Partners; Charlesbank and management retain significant interests,GI Partners majority; Charlesbank and management significant minority,verified_current_chain,A,national platform brand,False,False,2026-07-26,S026,S027|S028,
B012,Mr. Rooter Plumbing of Austin,,Plumbing,plumbing,active,published_active,verified_current,Austin franchise territory,,Austin metro,Local franchise operator,Neighborly / Mr. Rooter franchise system,Brett Bidwell owns local franchisee; KKR owns Neighborly franchisor,local franchisee ownership; franchisor separately sponsor-owned,verified_franchise_structure,A,locally owned franchise,True,False,2026-07-26,S029,S029|S030,
B013,Benjamin Franklin Plumbing of Austin,,Plumbing,plumbing,active,published_active,verified_current,Austin/Cedar Park franchise territory,,Austin metro,Local franchise operator,Authority Brands / Benjamin Franklin Plumbing,Local franchisee unresolved; Apax majority and BCI minority at franchisor level,franchisee interest unresolved; Apax majority/BCI minority at franchisor,verified_franchisor_local_operator_unresolved,B,locally operated franchise; owner name unresolved,True,False,2026-07-26,S033,S031|S032|S033,
B014,Aire Serv of Cedar Park,,HVAC,HVAC,active,published_active,verified_current,Cedar Park franchise territory,,"Cedar Park, Leander and nearby Austin suburbs",Local franchise operator,Neighborly / Aire Serv franchise system,Local franchisee legal identity unresolved; KKR owns Neighborly franchisor,local franchisee; franchisor sponsor ownership separate,verified_franchisor_local_operator_partial,B,independently owned/operated franchise,True,False,2026-07-26,S034,S030|S034|S036,
B015,Aire Serv of Round Rock,,HVAC,HVAC,active,published_active,verified_current,Round Rock franchise territory,,"Round Rock, Austin and nearby suburbs",Local franchise operator,Neighborly / Aire Serv franchise system,Chris Rattray local owner/operator; KKR owns Neighborly franchisor,local franchisee ownership; franchisor sponsor ownership separate,verified_franchise_structure,A,locally owned/operated franchise,True,False,2026-07-26,S035,S030|S035|S036,
