"facility","states","structure","public_title_or_sponsor","private_role_and_current_chain","term_or_reversion","confidence","primary_source"
"American Roads Alabama portfolio","Alabama","Private-title facilities","State and local permitting bodies; no single public toll owner","American Roads operates the included bridge companies; the disclosed ownership chain runs through DIF-managed infrastructure vehicles.","Private title; no general concession reversion","Strong","https://americanroads.com/"
"Northwest Parkway","Colorado","Public-title traffic-risk concession","Northwest Parkway Public Highway Authority","Northwest Parkway LLC holds long operating and toll-revenue rights under the concession.","99-year concession, 2007–2106","Strong","https://www.nwpky.com/"
"US 36 Express Lanes P3","Colorado","Public-title availability-payment/O&M P3","Colorado DOT and High Performance Transportation Enterprise","Plenary Roads Denver performs defined long-term operating and maintenance functions; public entities retain the core toll-policy and revenue role.","Long-term P3; public toll rights retained","Strong","https://www.codot.gov/programs/high-performance-transportation-enterprise-hpte/projects/us-36-express-lanes"
"I-595 Express","Florida","Public-title availability-payment/O&M P3","Florida Department of Transportation","I-595 Express LLC financed, rebuilt, operates, and maintains the corridor; FDOT sets toll policy and retains toll revenue and traffic risk.","35-year DBFOM agreement","Confirmed","https://www.fhwa.dot.gov/ipd/project_profiles/fl_i595.aspx"
"I-4 Ultimate","Florida","Public-title availability-payment/O&M P3","Florida Department of Transportation","I-4 Mobility Partners delivered and maintains the project under performance payments; the public side retains toll policy and express-lane revenue.","40-year DBFOM agreement","Confirmed","https://www.fhwa.dot.gov/ipd/project_profiles/fl_i4.aspx"
"Chicago Skyway","Illinois","Public-title traffic-risk concession","City of Chicago","Skyway Concession Company operates and receives toll revenue; Atlas Arteria owns 66.67% and Ontario Teachers’ Pension Plan owns 33.33%.","99-year lease, 2005–2104","Confirmed","https://www.chicago.gov/city/en/depts/fin/supp_info/public_private_partnerships/chicago_skyway.html"
"Houbolt Road Extension toll bridge","Illinois","Private-title or privately controlled facility","Public permitting and connecting-road agencies","United Bridge Partners’ project company controls the toll bridge and revenue stream.","Project/private title; no ordinary public-concession reversion identified","Strong","https://unitedbridgepartners.com/portfolio/houbolt-road-extension/"
"Indiana Toll Road","Indiana","Public-title traffic-risk concession","Indiana Finance Authority / State of Indiana","ITR Concession Company operates and receives toll revenue; ownership is held through IFM-managed infrastructure investment vehicles.","75-year lease, 2006–2081","Strong","https://www.in.gov/ifa/indiana-toll-road/"
"Ohio River Bridges East End Crossing","Indiana / Kentucky","Public-title availability-payment/O&M P3","Indiana Finance Authority and Kentucky public partners","WVB East End Partners designed, financed, built, operates, and maintains the crossing; RiverLink toll receipts remain public-system revenue.","Long-term availability-payment agreement","Confirmed","https://www.fhwa.dot.gov/ipd/project_profiles/in_east_end_crossing.aspx"
"Cline Avenue Bridge","Indiana","Private-title or privately controlled facility","Public road agencies regulate connections","United Bridge Partners’ bridge company operates the crossing and receives toll revenue.","No fixed public reversion identified","Strong","https://unitedbridgepartners.com/portfolio/cline-avenue-bridge/"
"Belle Chasse Bridge and Tunnel replacement P3","Louisiana","Public-title availability-payment/O&M P3","Louisiana Department of Transportation and Development","A private project company financed and delivered the replacement crossing and performs long-term maintenance; the public side retains the underlying asset role.","Long-term agreement; public title retained","Strong","https://www.transportation.gov/buildamerica/projects/belle-chasse-bridge-tunnel-replacement"
"Ambassador Bridge","Michigan / Ontario","Private-title facility","United States and Canadian border regulators","Detroit International Bridge Company and Canadian Transit Company form the private operating structure associated with the Moroun family.","Private title; no scheduled public reversion","Strong","https://www.ambassadorbridge.com/"
"Bay City Liberty and Independence bridges","Michigan","Long private bridge agreement","City of Bay City retains defined public rights","United Bridge Partners controls rehabilitation, operation, and toll economics through the governing bridge agreement.","Long-term agreement; handback governed by city contract","Strong","https://www.baycitybridgepartners.com/"
"Fort Frances–International Falls Bridge","Minnesota / Ontario","Private-title facility","United States and Canadian border regulators","Aazhogan Limited Partnership acquired the bridge interests in 2022 and operates the crossing.","Private ownership; no ordinary concession expiry identified","Strong","https://fortfrancesbridge.com/"
