claim_id,risk,claim,evidence,calculation_or_limit,status,publication_wording,open_action
C01,High,"SH 288 termination payment was $1,731,730,721 less permitted adjustments.",Texas Transportation Commission minutes / Minute Order 116738,Source amount preserved,Cleared,"Describe termination of concession rights, not purchase of pavement.",
C02,High,HCTRA transferred $398.6m to the county thoroughfare and mobility program.,Harris County FY2025 ACFR,Amount and recipient supported; no automatic rate-cut inference,Cleared with limit,"Public transfer, not private dividend.",Pin exact Commissioners Court action for broader legal claim
C03,High,CTTS and Grand Parkway can be compared per $100 on the same basis.,TxDOT FY2025 HB 803 report,"Same source, year, denominator and schedule",Cleared,Do not add other systems to the same stack.,
C04,High,Three concessions reported $553m project distributions and $318m Ferrovial share.,Ferrovial 2026 Factbook,100% project and ownership-adjusted figures separated,Cleared,Keep both denominators explicit.,
C05,High,"NTE, LBJ and NTE 35W run to 2061; SH 130 runs to 2062.",Ferrovial Factbook and executed SH 130 agreement,No calculation,Cleared,"Contract term, not construction-cost recovery, controls.",
C06,High,§284.008 creates a conditional no-toll path for certain county projects.,Texas Transportation Code §284.008,Agenda proves request only; final order not pinned,Cleared with limit,Do not name affected Harris County roads without the final order.,Obtain final order and project list
C07,Medium,NTTA's $437.9m figure is only an algebraic remainder.,December 2025 monthly report,"$1,357.5m − $252.7m − $666.9m",Cleared,"Not unrestricted cash, profit, reserve or capital deposit.",
C08,Medium,CTRMA is excluded from the normalized chart.,FY2025 ACFR and June statements,No plug between presentations,Open but disclosed,Use audited headline figures only.,Build audit-to-monthly bridge
C09,Medium,FBCTRA and FBGPTRA are separate reporting entities.,Separate FY2025 reports,No combined figure,Cleared,Do not substitute countywide values.,Capture exact FBGPTRA pages before headline values
C10,Medium,SH 130 current ultimate equity is unresolved.,Current TxDOT records and restructuring history,No inference from pre-bankruptcy owners,Open and disclosed,Name concession entity; leave ultimate owner unresolved.,Find current primary ownership disclosure
