"jurisdiction","code","pattern","note"
"Alabama","AL","Mixed","Public roads coexist with privately titled toll bridges operated through the American Roads portfolio."
"Alaska","AK","Public","The state controls the tolled Anton Anderson Memorial Tunnel access system."
"Arizona","AZ","No current material toll-road system","Proposed tolling and managed-lane concepts are outside the current operating universe."
"Arkansas","AR","No current material toll-road system","No operating facility met the inclusion test."
"California","CA","Public","State and regional agencies control current toll bridges and express lanes; former private concessions such as SR 125 are now public."
"Colorado","CO","Mixed","E-470 is a public authority; Northwest Parkway is under a long traffic-risk concession; US 36 uses a separate availability-payment structure."
"Connecticut","CT","No current material toll-road system","Historic turnpike tolls are not current facilities."
"Delaware","DE","Public","DelDOT and the Delaware River and Bay Authority control the principal tolled facilities."
"District of Columbia","DC","No current material toll-road system","Parking and prospective congestion charges are outside this road-and-bridge universe."
"Florida","FL","Public plus availability P3","Florida’s Turnpike Enterprise and regional public authorities receive toll revenue; I-595 and I-4 use availability-payment contracts."
"Georgia","GA","Public","The State Road and Tollway Authority and GDOT control current tolled managed lanes."
"Hawaii","HI","No current material toll-road system","No operating facility met the inclusion test."
"Idaho","ID","No current material toll-road system","No operating facility met the inclusion test."
"Illinois","IL","Mixed","Illinois Tollway is public; Chicago Skyway is leased through 2104; Houbolt Road Extension is privately financed and operated."
"Indiana","IN","Mixed","The state retains the Indiana Toll Road asset while a private concessionaire holds long operating and toll rights; Cline Avenue Bridge is privately controlled; East End Crossing is an availability P3."
"Iowa","IA","No current material toll-road system","No operating facility met the inclusion test."
"Kansas","KS","Public","Kansas Turnpike Authority controls the turnpike system and its toll revenue."
"Kentucky","KY","Public plus availability P3","Public bridge sponsors receive RiverLink toll revenue; the East End Crossing is maintained under a long P3."
"Louisiana","LA","Public plus availability P3","Public bridge and highway sponsors dominate; Belle Chasse uses a long-term private delivery and maintenance structure."
"Maine","ME","Public","Maine Turnpike Authority controls the turnpike system."
"Maryland","MD","Public","Maryland Transportation Authority owns and operates the major toll roads, bridges, and tunnels."
"Massachusetts","MA","Public","MassDOT controls the Massachusetts Turnpike and related tolling."
"Michigan","MI","Mixed","Public international and regional crossings coexist with the privately owned Ambassador Bridge and private bridge structures in Bay City. Grosse Ile’s former private toll bridge became township-owned in 2025."
"Minnesota","MN","Mixed","Public managed lanes coexist with the privately held Fort Frances–International Falls international bridge structure."
"Mississippi","MS","No current material toll-road system","No operating facility met the inclusion test."
"Missouri","MO","No current material toll-road system","The former Lake of the Ozarks Community Bridge toll is treated as historical, not current."
"Montana","MT","No current material toll-road system","No operating facility met the inclusion test."
"Nebraska","NE","No current material toll-road system","No operating facility met the inclusion test."
"Nevada","NV","No current material toll-road system","Current high-occupancy or managed lanes without an operating toll were excluded."
"New Hampshire","NH","Public","New Hampshire DOT controls the turnpike system."
"New Jersey","NJ","Public plus availability P3","New Jersey Turnpike Authority and other public agencies dominate; Goethals Bridge has a private design-build-finance-maintain partner but Port Authority toll revenue remains public."
"New Mexico","NM","No current material toll-road system","No operating facility met the inclusion test."
"New York","NY","Public plus availability P3","Public authorities control the principal toll roads, bridges, and tunnels; Goethals Bridge uses an availability-payment P3."
"North Carolina","NC","Mixed","The North Carolina Turnpike Authority controls its toll roads; I-77 Express is a traffic-risk concession."
"North Dakota","ND","No current material toll-road system","No operating facility met the inclusion test."
"Ohio","OH","Mixed","Ohio Turnpike is public; several Ohio River private toll bridges create a mixed ownership pattern."
"Oklahoma","OK","Public","Oklahoma Turnpike Authority controls the turnpike network and toll revenues."
"Oregon","OR","Public","Public port, county, and transportation entities control the current tolled bridge facilities in the universe."
"Pennsylvania","PA","Mixed","Pennsylvania Turnpike Commission controls the turnpike; Dingmans Ferry Bridge remains privately owned."
"Rhode Island","RI","Public","Rhode Island Turnpike and Bridge Authority controls the principal tolled bridges."
"South Carolina","SC","Nonprofit concession / mixed","Southern Connector is operated by a nonprofit concessionaire with project debt and toll-revenue rights rather than conventional shareholder equity."
"South Dakota","SD","No current material toll-road system","No operating facility met the inclusion test."
"Tennessee","TN","No current material toll-road system","No operating facility met the inclusion test."
"Texas","TX","Mixed","State, regional mobility authorities, counties, and NTTA control many roads; long traffic-risk concessions and privately held international bridges create a separate private layer."
"Utah","UT","Public","UDOT controls current tolled express-lane operations."
"Vermont","VT","No current material toll-road system","No operating facility met the inclusion test."
"Virginia","VA","Mixed","Public facilities coexist with the privately titled Dulles Greenway and several long traffic-risk concessions."
"Washington","WA","Public","Washington State DOT and public bridge entities control the current tolled facilities."
"West Virginia","WV","Mixed","West Virginia Parkways Authority is public; privately controlled Ohio River bridges form a separate group."
"Wisconsin","WI","No current material toll-road system","No operating facility met the inclusion test."
"Wyoming","WY","No current material toll-road system","No operating facility met the inclusion test."
