population,revenue_band,central_share_pct,status,note
A. All listed apps,$0,86.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
A. All listed apps,$1-$99,7.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
A. All listed apps,$100-$999,6.02,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
A. All listed apps,"$1,000-$4,999",0.65,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
A. All listed apps,"$5,000-$24,999",0.24,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
A. All listed apps,"$25,000-$99,999",0.08,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
A. All listed apps,"$100,000+",0.01,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
B. Active apps,$0,55.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
B. Active apps,$1-$99,23.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
B. Active apps,$100-$999,18.75,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
B. Active apps,"$1,000-$4,999",2.25,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
B. Active apps,"$5,000-$24,999",0.75,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
B. Active apps,"$25,000-$99,999",0.2,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
B. Active apps,"$100,000+",0.05,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
C. Active monetized apps,$0,8.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
C. Active monetized apps,$1-$99,44.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
C. Active monetized apps,$100-$999,40.32,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
C. Active monetized apps,"$1,000-$4,999",5.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
C. Active monetized apps,"$5,000-$24,999",2.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
C. Active monetized apps,"$25,000-$99,999",0.58,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
C. Active monetized apps,"$100,000+",0.1,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
D. Independently owned active apps,$0,50.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
D. Independently owned active apps,$1-$99,27.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
D. Independently owned active apps,$100-$999,18.5,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
D. Independently owned active apps,"$1,000-$4,999",3.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
D. Independently owned active apps,"$5,000-$24,999",1.1,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
D. Independently owned active apps,"$25,000-$99,999",0.32,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
D. Independently owned active apps,"$100,000+",0.08,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
E. Serious commercial attempts,$0,22.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
E. Serious commercial attempts,$1-$99,32.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
E. Serious commercial attempts,$100-$999,35.78,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
E. Serious commercial attempts,"$1,000-$4,999",6.5,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
E. Serious commercial attempts,"$5,000-$24,999",2.7,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
E. Serious commercial attempts,"$25,000-$99,999",0.8,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
E. Serious commercial attempts,"$100,000+",0.22,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
F. Maintained for at least 12 months,$0,18.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
F. Maintained for at least 12 months,$1-$99,27.0,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
F. Maintained for at least 12 months,$100-$999,42.74,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
F. Maintained for at least 12 months,"$1,000-$4,999",7.4,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
F. Maintained for at least 12 months,"$5,000-$24,999",3.5,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
F. Maintained for at least 12 months,"$25,000-$99,999",1.1,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
F. Maintained for at least 12 months,"$100,000+",0.26,Modeled central calibration,"Gross monthly revenue; rounded distribution, not a store census."
