status,priority,segment,prospect_name,prospect_url,target_page,asset,angle,next_action,outcome,notes
won,1,owned-profile,GitHub profile,https://github.com/SulaymanB2024,https://sulayman-bowles.dev/research,Research assets and Atlas project,Add canonical research and Atlas links to profile README,Monitor public profile README links,Verified public GitHub profile README links to research hub and source files,Sidebar bio and website API update needs GitHub user scope
won,1,owned-profile,Portfolio_Site repository,https://github.com/SulaymanB2024/Portfolio_Site,https://sulayman-bowles.dev/,Portfolio static SEO implementation,Add homepage link and concise technical SEO/source-graph description,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and README links point to canonical source surfaces,Verified via GitHub REST API and public README HTML at 2026-06-25T21:39:47Z
won,1,owned-profile,Thick-Scraper-VOID- repository,https://github.com/SulaymanB2024/Thick-Scraper-VOID-,https://sulayman-bowles.dev/atlas,Atlas project,Point repo metadata and README at Atlas proof assets,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and README links point to Atlas proof pages,Verified via GitHub REST API and public README HTML at 2026-06-25T21:39:47Z
won,2,owned-profile,cuddly-waffle repository,https://github.com/SulaymanB2024/cuddly-waffle,https://sulayman-bowles.dev/atlas,Atlas technical SEO audit CLI,Point public SEO audit repo to Atlas and research surfaces,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and raw README links point to Atlas and research surfaces,Verified via GitHub API and raw README at 2026-06-26T16:47:54Z
won,2,owned-profile,sezzle-fundamental-model repository,https://github.com/SulaymanB2024/sezzle-fundamental-model,https://sulayman-bowles.dev/markets,Markets research and valuation model,Add README and repository metadata pointing to markets research,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and raw README links point to markets research,Verified via GitHub API and raw README at 2026-06-26T16:47:54Z
won,2,owned-profile,IMC_BOT repository,https://github.com/SulaymanB2024/IMC_BOT,https://sulayman-bowles.dev/markets,Trading feature pipeline,Point public IMC trading feature repo to markets research,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and raw README links point to markets research,Verified via GitHub API and raw README at 2026-06-26T16:55:03Z
won,2,owned-profile,UTexas_EnergyTrading repository,https://github.com/SulaymanB2024/UTexas_EnergyTrading,https://sulayman-bowles.dev/markets,Energy trading analysis,Add README and repository metadata pointing to markets research,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and raw README links point to markets research,Verified via GitHub API and raw README at 2026-06-26T16:55:03Z
won,2,owned-profile,reimagined-octo-succotash repository,https://github.com/SulaymanB2024/reimagined-octo-succotash,https://sulayman-bowles.dev/,Canonical portfolio site and research hub,Point older public portfolio repo to current canonical site,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and README links point to canonical site and research assets,Verified via GitHub API and raw README at 2026-06-26T14:21:34Z
won,2,owned-profile,Website_2.0 repository,https://github.com/SulaymanB2024/Website_2.0,https://sulayman-bowles.dev/,Canonical portfolio site and research hub,Point archived portfolio build guide to current canonical site,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and raw README links point to canonical site and research assets,Verified via GitHub API and raw README at 2026-06-26T16:34:13Z
won,2,owned-profile,The_Website repository,https://github.com/SulaymanB2024/The_Website,https://sulayman-bowles.dev/,Canonical portfolio site and research hub,Point legacy portfolio design guide to current canonical site,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and raw README links point to canonical site and research assets,Verified via GitHub API and raw README at 2026-06-26T16:34:13Z
won,2,owned-profile,ubiquitous-goggles repository,https://github.com/SulaymanB2024/ubiquitous-goggles,https://sulayman-bowles.dev/,Canonical portfolio site and research hub,Point legacy Gotham OS portfolio build to current canonical site,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and raw README links point to canonical site and research assets,Verified via GitHub API and raw README at 2026-06-26T16:34:13Z
won,2,owned-profile,Website repository,https://github.com/SulaymanB2024/Website,https://sulayman-bowles.dev/,Canonical portfolio site and research hub,Point legacy Roman portfolio build to current canonical site,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and raw README links point to canonical site and research assets,Verified via GitHub API and raw README at 2026-06-26T16:40:25Z
won,2,owned-profile,Gemini_G repository,https://github.com/SulaymanB2024/Gemini_G,https://sulayman-bowles.dev/,Canonical portfolio site and research hub,Point legacy Roman Domus portfolio variant to current canonical site,Monitor public GitHub metadata and README links,Verified GitHub repo metadata and raw README links point to canonical site and research assets,Verified via GitHub API and raw README at 2026-06-26T16:40:25Z
