checked_at,repo_name,repo_url,pushed_at,public_state,fit_status,target_page,evidence,next_action,risk_boundary
2026-06-26,5-Race-the-Case-Competition,https://github.com/SulaymanB2024/5-Race-the-Case-Competition,2025-04-05T01:05:31Z,Cleaned project README and code are public; homepage metadata points to Work page,verified_owned_repo_metadata,https://sulayman-bowles.dev/work,GitHub API raw README and public repo HTML all show the canonical Work URL,Monitor metadata and README links; keep the archive scoped to the competition project,GitHub repository links are nofollow and do not prove DR movement
2026-06-26,ideal-telegram,https://github.com/SulaymanB2024/ideal-telegram,2025-06-05T01:38:43Z,README and public concept docs describe a portfolio vision deck; homepage metadata points to Work page,verified_owned_repo_metadata_and_readme,https://sulayman-bowles.dev/work,GitHub API raw README and public repo HTML all show the canonical Work URL,Monitor metadata and README links; keep the archive description narrow,GitHub repository links are nofollow and do not prove DR movement
2026-06-26,AeroSpace-Testing-,https://github.com/SulaymanB2024/AeroSpace-Testing-,2025-12-23T07:38:51Z,Vite app with generic v0 README and separate Vercel homepage,ready_after_review,https://sulayman-bowles.dev/work,Repo has app files and a public deployment but no canonical site reference,Confirm the deployment should stay public before adding portfolio context,Do not replace a project deployment homepage with a personal-site link unless intentional
2026-06-26,SUI_CalHacks,https://github.com/SulaymanB2024/SUI_CalHacks,2025-10-25T14:20:42Z,Minimal README only,ready_after_context,https://sulayman-bowles.dev/work,Public hackathon repo exists but has no project context or canonical link,Add context and a Work page reference only if the project should be featured,Do not turn minimal repos into link surfaces without truthful project context
2026-06-26,VETAART-CODE-,https://github.com/SulaymanB2024/VETAART-CODE-,2025-10-01T18:33:02Z,Minimal README only,ready_after_context,https://sulayman-bowles.dev/work,Public repo exists but has no project context or canonical link,Add context and a Work page reference only if the project should be featured,Do not treat a placeholder README as proof of a backlink win
2026-06-26,TInkerAKA,https://github.com/SulaymanB2024/TInkerAKA,2025-05-25T19:16:07Z,Large prompt-like portfolio brief README,cleanup_first,https://sulayman-bowles.dev/work,README is substantial but should be reviewed before promotion,Clean and decide whether this repo should remain public before adding links,Do not amplify prompt or draft content solely for link volume
2026-06-26,probable-chainsaw,https://github.com/SulaymanB2024/probable-chainsaw,2026-03-24T19:31:50Z,Generated app scaffold with AI Studio README; app metadata identifies it as a Sulayman Bowles portfolio concept and homepage metadata now points to canonical homepage,verified_owned_repo_metadata,https://sulayman-bowles.dev/,GitHub API and public repo HTML both show the canonical homepage URL,Monitor metadata link and clean generated README before adding README links,GitHub metadata links are nofollow and do not prove DR movement
2026-06-26,animated-lamp,https://github.com/SulaymanB2024/animated-lamp,2026-03-24T19:18:53Z,Generated app scaffold with AI Studio README and draft portfolio metadata; content includes unverified fictional career/investment claims,cleanup_first,TBD,Repo metadata says portfolio concept but data file includes unsupported career and investment claims,Clean or archive the repo before any canonical link,Do not attach canonical site to generated content with unverified biography or investment claims
2026-06-26,copvd,https://github.com/SulaymanB2024/copvd,2026-01-07T19:41:43Z,Generated app scaffold with unclear metadata,research_low_signal,TBD,Repo has app files but no clear public project identity,Name and describe the project before considering a canonical link,Do not publish link claims from unclear placeholder metadata
2026-06-26,New_repo,https://github.com/SulaymanB2024/New_repo,2025-07-16T02:01:46Z,Generic v0 synced app README,research_low_signal,TBD,Repo points to v0 and Vercel project pages but not canonical site,Identify the actual app before adding portfolio context,Do not use generic synced repos for link volume
2026-06-26,npovda,https://github.com/SulaymanB2024/npovda,2026-05-03T16:38:00Z,Minimal README plus zip artifact,skip_low_signal,TBD,No clear public project context or canonical link,Leave unlinked unless the artifact is documented and meant to be public,Do not add personal-site links to opaque zip-only repos
2026-06-26,literate-computing-machine,https://github.com/SulaymanB2024/literate-computing-machine,2026-04-14T23:53:14Z,Minimal README only,skip_minimal,TBD,No public project context beyond a title README,Leave out of link-building queue until content exists,Do not create empty backlink surfaces
2026-06-26,sturdy-fiesta,https://github.com/SulaymanB2024/sturdy-fiesta,2026-01-07T20:53:53Z,No README; single unclear file,skip_no_readme,TBD,No README or public project context exists,Leave out of link-building queue unless rebuilt as a real project,Do not add links to unclear file drops
2026-06-26,Project-Apollo,https://github.com/SulaymanB2024/Project-Apollo,2025-09-28T23:28:49Z,Empty repository,skip_empty,TBD,GitHub API reports the repository is empty,No link action,Empty repos must not be used for authority claims
2026-06-26,Hyperliquid-Website-Fork,https://github.com/SulaymanB2024/Hyperliquid-Website-Fork,2025-08-15T01:07:46Z,Minimal README and fork-like name,research_originality_check,TBD,Repo is marked non-fork by API but name suggests derivative work,Verify originality and purpose before linking,Do not add canonical links to derivative repos without review
2026-06-26,didactic-succotash,https://github.com/SulaymanB2024/didactic-succotash,2025-06-19T03:25:24Z,Minimal README only,skip_minimal,TBD,No public project context beyond a title README,Leave out of link-building queue until content exists,Do not create empty backlink surfaces
