month,source,posting_records
2025-12,AlmondCroffle,50
2025-12,Simplify,1046
2025-12,Vedant2402,1
2025-12,adamthorne27,1
2025-12,angie-hue,2
2026-01,Simplify,1424
2026-01,matthewjyhan,1
2026-02,AlmondCroffle,1
2026-02,Saugatsaugat,1
2026-02,Simplify,2278
2026-02,jamesthechen,4
2026-02,natalieh235,2
2026-03,AlmondCroffle,93
2026-03,Simplify,2129
2026-03,jamesthechen,1
2026-03,matthewjyhan,1
2026-04,AlmondCroffle,39
2026-04,DereC4,21
2026-04,Simplify,1364
2026-05,AlmondCroffle,25
2026-05,Simplify,788
2026-05,zach-marto,1
2026-06,DereC4,6
2026-06,Simplify,489
2026-07,Simplify,131
