source_name,source_url,source_type,used_for,claim_boundary,last_verified
OpenAI crawlers,https://developers.openai.com/api/docs/bots,official_documentation,OpenAI search training and user-triggered agent roles,Does not prove ChatGPT citation or ranking,2026-07-24
Anthropic crawler guidance,https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler,official_documentation,Claude crawler distinctions and blocking guidance,Does not prove Claude citation or answer inclusion,2026-07-24
Perplexity crawlers,https://docs.perplexity.ai/docs/resources/perplexity-crawlers,official_documentation,Perplexity search and user-triggered agent roles,Does not prove Perplexity citation or answer inclusion,2026-07-24
Google robots.txt introduction,https://developers.google.com/search/docs/crawling-indexing/robots/intro,official_documentation,robots.txt limitations and crawler access framing,Robots access is not an indexing guarantee,2026-07-24
OpenAI OAI-SearchBot IP ranges,https://openai.com/searchbot.json,official_ip_manifest,Server-log verification for claimed OAI-SearchBot requests,User-Agent and IP checks still do not prove indexing or citation,2026-07-24
OpenAI GPTBot IP ranges,https://openai.com/gptbot.json,official_ip_manifest,Server-log verification for claimed GPTBot requests,Published ranges can change and must be refreshed,2026-07-24
OpenAI ChatGPT-User IP ranges,https://openai.com/chatgpt-user.json,official_ip_manifest,Server-log verification for claimed ChatGPT-User requests,User-triggered requests may not follow robots.txt,2026-07-24
Anthropic bot IP ranges,https://claude.com/crawling/bots.json,official_ip_manifest,Server-log verification for claimed Anthropic bot requests,Published ranges can change and must be refreshed,2026-07-24
PerplexityBot IP ranges,https://www.perplexity.ai/perplexitybot.json,official_ip_manifest,Server-log verification for claimed PerplexityBot requests,Published ranges can change and must be refreshed,2026-07-24
Perplexity-User IP ranges,https://www.perplexity.ai/perplexity-user.json,official_ip_manifest,Server-log verification for claimed Perplexity-User requests,Perplexity says this fetcher generally ignores robots.txt,2026-07-24
Google canonicalization guide,https://developers.google.com/search/docs/crawling-indexing/consolidate-duplicate-urls,official_documentation,canonical URL consolidation and duplicate URL handling,Canonical signals do not guarantee selected canonical,2026-07-14
Google link best practices,https://developers.google.com/search/docs/crawling-indexing/links-crawlable,official_documentation,crawlable links and descriptive anchor guidance,Good links do not guarantee ranking movement,2026-07-14
Google Search spam policies,https://developers.google.com/search/docs/essentials/spam-policies,official_documentation,link spam boundaries for outreach and campaign rules,Policy compliance does not prove authority gains,2026-07-14
Google AI search optimization guidance,https://developers.google.com/search/docs/fundamentals/ai-optimization-guide,official_documentation,AI search optimization as normal SEO plus accessible content,Does not guarantee AI Overview inclusion,2026-07-14
IndexNow documentation,https://www.indexnow.org/documentation,official_documentation,URL change notification and key-file mechanism,IndexNow submission does not guarantee crawling or indexing,2026-07-14
Ahrefs Domain Rating glossary,https://ahrefs.com/seo/glossary/domain-rating,third_party_metric_documentation,DR definition and backlink-profile factors,DR is proprietary and not a Google ranking metric,2026-07-14
