"claim","status","value_or_rule","evidence","limitation"
"Treasury transfer","primary_source_mechanics","100000000 UNI to nonzero dead address","Proposal 93 executed call","Use transaction timestamp from original draft for elapsed days"
"Recognized burn balance","reported_historical_input","108025224 UNI","August 5 2026 18:15 UTC tracker figure retained in draft","Original response and address-level export not preserved"
"Recurring-and-other residual","derived","8025224 UNI","Recognized balance minus 100000000","Not exclusively classified protocol-fee burn"
"Recent window","reported_historical_input","3928000 UNI / 90 days","August 1 cited wallet analysis retained in draft","Underlying wallet export not preserved or independently reclassified"
"Contract transfer accounting","primary_source_mechanics","Transfer to nonzero dead address does not decrement totalSupply","Official Uni.sol","Not a fresh totalSupply RPC read"
"Dead-address-adjusted quantity","derived","891974776 UNI","1000000000 minus reported recognized balance","Neither circulating supply nor market float"
"Growth schedule","primary_source_mechanics","20000000 UNI/year from existing treasury","Proposal 93: 40000000 two-year authorization","Distribution schedule is not evidence of market sales"
"Annualized cases","derived","13.260M and 15.930M UNI/year","Exact elapsed time and 365/90 transformations","Historical-input scenarios, not forecasts"
"Sell-through","assumption","0 through 100 percent","Sensitivity model","Actual recipient disposition not established"
"New mint","assumption","0 in base model","Separate from treasury distribution","No fresh onchain event census in this release"
"Break-even","derived","B / 20000000; approximately 66.3%-79.7%","Conditional no-new-mint equation","Not measured net exchange buying or a price forecast"
"Later v4 activation","not_verified","Excluded as explanation of burn-window difference","UI did not expose execution receipt","Do not infer activation from a proposal reference"
