id,label,url,source_type,publication_date,accessed,claim,limitation
S01,FHWA national toll-facility discovery inventory,https://www.fhwa.dot.gov/policyinformation/tollpage/page00.cfm,Federal inventory,2023-07,2026-09-02,Discovery frame and federal facility references,"Facilities are described as of January 1, 2023; current ownership was refreshed separately."
S02,E-470 2025 annual report,https://e470.com/app/uploads/2026/06/E470-Annual-Report-2025-Digital-Final.pdf,Public-authority annual report,2026-06,2026-09-02,"E-470 authority, governance, operations, toll revenue and financing",Instrument-level debt and subcontractor detail are outside the web table.
S03,E-470 tolling FAQ,https://www.e-470.com/how-tolling-works/faqs/,Public-authority operating page,Current page,2026-09-02,ExpressToll administration and public operating role,Operational overview rather than an audited statement.
S04,Pennsylvania Turnpike Commission investor relations,https://www.paturnpike.com/about-us/investor-relations,Public-authority record hub,Current page,2026-09-02,"Public commission, system debt and revenue structure",Series-level bond terms remain in individual disclosures.
S05,Illinois Tollway authority overview,https://www.illinoistollway.com/about,Public-authority operating page,Current page,2026-09-02,Illinois Tollway public system role,Contractor detail is not treated as ownership.
S06,Florida’s Turnpike Enterprise,https://floridasturnpike.com/about/,State enterprise page,Current page,2026-09-02,FDOT enterprise ownership and operating structure,Facility-level bonds and vendors are not shown in the article table.
S07,New Jersey Turnpike Authority,https://www.njta.com/about,Public-authority operating page,Current page,2026-09-02,NJTA control of the Turnpike and Garden State Parkway,Grouped system row; individual contracts are excluded.
S08,New York State Thruway Authority overview,https://www.thruway.ny.gov/about/index.html,Public-benefit corporation page,Current page,2026-09-02,"Public title, operation and toll-revenue role",Does not resolve each operating subcontract.
S09,Ohio Turnpike and Infrastructure Commission,https://www.ohioturnpike.org/about-us,Public commission page,Current page,2026-09-02,Public commission ownership and operation,Debt instruments remain in separate official statements.
S10,Maine Turnpike Authority overview,https://www.maineturnpike.com/About-MTA/Overview.aspx,Public-authority page,Current page,2026-09-02,Maine Turnpike public-authority structure,Vendor relationships are not ownership evidence.
S11,Oklahoma Turnpike Authority / PIKEPASS,https://www.pikepass.com/,Public-authority operating site,Current page,2026-09-02,Oklahoma public turnpike system and billing channel,The grouped row leaves instrument-level debt and some operating allocations open.
S12,Maryland Transportation Authority overview,https://mdta.maryland.gov/About/About_MDTA.html,Public-authority page,Current page,2026-09-02,"MDTA public toll-road, bridge and tunnel system",Grouped system row.
S13,Central Florida Expressway Authority,https://www.cfxway.com/agency-information/,Regional public-authority page,Current page,2026-09-02,"CFX public ownership, operation and revenue role",Facility-level service contracts are outside scope.
S14,North Texas Tollway Authority,https://www.ntta.org/about-us,Regional public-authority page,Current page,2026-09-02,NTTA public system role,The national article links to the deeper Texas investigation for road-level detail.
S15,Harris County Toll Road Authority,https://www.hctra.org/,County toll-system page,Current page,2026-09-02,Harris County/HCTRA public toll system,Exact allocation among county entities and vendors remains narrower than the article classification.
S16,Bay Area Toll Authority,https://mtc.ca.gov/about-mtc/authorities/bay-area-toll-authority-bata,Regional authority page,Current page,2026-09-02,BATA toll-revenue administration and financing role,BATA is not the physical owner or maintenance operator.
S17,Caltrans toll operations,https://dot.ca.gov/programs/toll-operations,State DOT page,Current page,2026-09-02,State-owned bridge operating and tolling context,"Read with BATA records to separate title, maintenance and revenue administration."
S18,Massachusetts Turnpike overview,https://www.mass.gov/info-details/massachusetts-turnpike,State DOT page,Current page,2026-09-02,MassDOT public Turnpike role,Grouped system-level treatment.
S19,91 Express Lanes history and agency role,https://www.91expresslanes.com/about-us/,Public toll-agency page,Current page,2026-09-02,OCTA purchase of the private franchise and current public toll operation,Underlying highway title and franchise mechanics remain distinct.
S20,SANDAG South Bay Expressway / SR 125,https://www.sandag.org/projects-and-programs/roads-and-highways/sr-125-toll-road,Regional agency project page,Current page,2026-09-02,2011 bankruptcy acquisition and current public control,The underlying state-route and financing interests are more complex than a simple deed transfer.
S21,TxDOT SH 288 transition to public control,https://www.txdot.gov/about/newsroom/statewide/sh288-toll-lanes-transition-public-ownership.html,State DOT announcement,2024-10,2026-09-02,Termination of the private concession and transition to public operation,"Current public operating and revenue allocations remain distributed among TxDOT, TTFC and HCTRA."
S22,Texas Transportation Commission SH 288 action,https://www.txdot.gov/content/dam/docs/commission/2024/0730/minutes.pdf,Commission minutes,2024-07-30,2026-09-02,Authorization and transaction record for concession termination,Use with later operating records for current structure.
S23,FHWA Chicago Skyway project profile,https://www.fhwa.dot.gov/ipd/project_profiles/il_chicago_skyway.aspx,Federal P3 project profile,Current profile,2026-09-02,"99-year lease, public asset and private revenue-risk concession",Current equity must be refreshed from investor disclosures.
S24,City of Chicago Skyway transaction records,https://www.chicago.gov/city/en/depts/fin/supp_info/public_private_partnerships/chicago_skyway.html,City transaction record,Current record hub,2026-09-02,"City title, lease and change-of-control framework",Agreement-level contingent payment provisions are outside the lookup.
S25,Atlas Arteria Chicago Skyway portfolio disclosure,https://www.atlasarteria.com/portfolio/chicago-skyway,Current investor disclosure,Current page,2026-09-02,66.67% Atlas Arteria / 33.33% Ontario Teachers’ ownership and January 2104 expiry,Project debt is separate from equity ownership.
S26,FHWA Indiana Toll Road project profile,https://www.fhwa.dot.gov/ipd/project_profiles/in_indiana_toll_road.aspx,Federal P3 project profile,Current profile,2026-09-02,75-year public-title/private-revenue-risk lease,Current post-bankruptcy ownership requires separate disclosure.
S27,Indiana Finance Authority toll-road record,https://www.in.gov/ifa/indiana-toll-road/,State authority page,Current page,2026-09-02,Public sponsor and concession framework,Does not by itself prove the full current fund cap table.
S28,IFM Investors Indiana Toll Road portfolio disclosure,https://www.ifminvestors.com/en-us/about-us/our-investments/infrastructure/indiana-toll-road/,Current fund disclosure,2026-06-30 as-of,2026-09-02,IFM-managed ownership and disclosed 72.9% fund stake,The remainder and instrument-level debt are not reconstructed in this web edition.
S29,Dulles Greenway operating company,https://www.dullesgreenway.com/,Operator first-party page,Current page,2026-09-02,TRIP II operation and private-highway status,Exact title language should be read with Virginia orders.
S30,Atlas Arteria Dulles Greenway disclosure,https://www.atlasarteria.com/portfolio/dulles-greenway,Current investor disclosure,Current page,2026-09-02,Atlas Arteria 100% economic interest,Economic interest is not a substitute for state regulatory authority.
S31,VDOT 495 Express Lanes project,https://www.vdot.virginia.gov/projects/northern-virginia-district/495-express-lanes/,State DOT project page,Current page,2026-09-02,Public corridor and long concession structure,Contract amendments and precise handback dates remain in executed agreements.
S32,Transurban 495 Express Lanes,https://www.transurban.com/roads-and-projects/495-express-lanes,Current operator/investor disclosure,Current page,2026-09-02,Transurban-controlled project company and operations,The article does not treat corporate ownership as title to the Commonwealth corridor.
S33,VDOT Elizabeth River Tunnels,https://www.vdot.virginia.gov/projects/hampton-roads-district/elizabeth-river-tunnels/,State DOT project page,Current page,2026-09-02,Public title/sponsor and concession structure,Current equity is separately sourced.
S34,Abertis Elizabeth River Crossings disclosure,https://www.abertis.com/en/our-business/roads/elizabeth-river-crossings,Current investor disclosure,Current page,2026-09-02,Abertis and Manulife ownership chain,The web edition does not infer undisclosed vehicle-level interests.
S35,NCDOT I-77 Express Lanes,https://www.ncdot.gov/projects/i-77-express-lanes/Pages/default.aspx,State DOT project page,Current page,2026-09-02,Public title and 50-year concession framework,Rate and compensation mechanics remain in contract documents.
