company,posting_records
Nokia,176
RTX,158
The Walt Disney Company,138
TikTok,134
Microsoft,119
Bank of Montreal,91
General Dynamics Mission Systems,79
Cadence Design Systems,77
T-Mobile,73
Leidos,71
Genentech,70
Robert Bosch Venture Capital,69
Royal Bank of Canada,62
Intel,61
Altom Transport,60
Applied Materials,57
Western Digital,56
Tencent,56
CAE,54
GE Vernova,51
Motorola,48
Autodesk,48
General Motors,47
KLA,47
Johnson & Johnson,47
Meta,46
CACI,44
Veolia,43
TD Bank,42
Kaiser Permanente,41
CIBC,41
ByteDance,40
Moog ,39
Magna,38
Northrop Grumman,37
Paccar,36
Fiserv,35
Coherent ,35
Ciena,34
Uber,33
Micron Technology,32
Samsung,32
Samsung Research America,31
NVIDIA,31
Tesla,31
KION Group,30
Geotab,29
Amentum,29
Hewlett Packard (HP),29
State Street,28
KBR,28
Trane Technologies,28
General Dynamics Information Technology,28
Roku,27
Sandisk,27
S&P Global ,27
Hitachi,26
GE Healthcare,26
BMO ,25
Oracle,25
Westinghouse Electric Company,25
Microchip Technology,25
PG&E,25
Intuitive Surgical,24
X Development,24
Cisco,23
Jabil,23
ASML,22
Rolls Royce,22
HARMAN International,22
Centific,22
Amazon,21
Sigma Computing,21
Altera Corporation,21
Copart,21
EXL,21
Avnet,21
Al Warren Oil Company,20
Parsons,20
Roche,20
ABB,20
Bose,20
Commonwealth of Massachusetts,20
The Boeing Company,20
Cotiviti,20
PlusAI,20
Visa,19
Zoox,19
Draper,19
Manulife Financial,19
Ripple,19
Lumentum,19
Schweitzer Engineering Laboratories,19
Lawrence Livermore National Laboratory (LLNL),19
Netflix,18
Cloudflare,18
BorgWarner,18
Marvell,18
HNTB,18
Proofpoint,18
