claim_id,claim_type,claim,value,source_or_model_ids,calculation_or_trace,confidence,caveat
CL01,Modeled estimate,"About 15.4% of serious independent app developers generate at least $1,000 of current gross monthly revenue across their owned portfolio.",15.41%,M01; S07,"Monte Carlo: selected subscription ever-hit rate x persistence x transfer factor, then portfolio aggregation.",Medium,8.36%-25.02% plausible interval; not a census.
CL02,Modeled estimate,"About 10.2% of serious independent apps generate at least $1,000 of current gross monthly revenue.",10.23%,M01; S07,Same model before portfolio aggregation.,Medium,5.26%-17.44% plausible interval.
CL03,Modeled estimate,"Across all listed apps, roughly 1.0% clear $1,000 in a current month.",0.98%,M01; S02-S05; S07,"Mixture of inactive, active-light, monetized-light, serious, and mature app states.",Low-Medium,0.31%-2.74%; denominator composition is uncertain.
CL04,Modeled estimate,"Sustaining $1,000 for three consecutive months is less common than touching it once.",Developer 12.00%; app 7.28%,M01,Current-month draws multiplied by persistence factors.,Medium-Low,"Three-month persistence is assumed, not directly observed store-wide."
CL05,Observed fact,"RevenueCat reports that 17.3% of newly launched apps in its selected cohort hit $1,000 monthly revenue within two years.",17.3%,S07,Direct report statistic.,High within cohort,"It is ever-hit, subscription-only, RevenueCat-integrated, active, and minimum-threshold selected."
CL06,Observed fact,"Only 4.6% of that RevenueCat launch cohort hit $10,000 monthly revenue within two years.",4.6%,S07,Direct report statistic.,High within cohort,Not a store-wide prevalence estimate.
CL07,Observed fact,"The RevenueCat year-one monthly-revenue median is about $72, versus $2,574 at the 90th percentile.","$72; $2,574",S07,Direct report statistic.,High within cohort,Selected subscription apps; median versus right tail.
CL08,Observed fact,Adapty reports the top 10% of observed subscription apps capture 94.5% of subscription revenue.,94.5%,S08-S09,Direct vendor report statistic.,Medium,Vendor cohort and marketing framing; denominator/exclusions matter.
CL09,Derived calculation,Adapty’s concentration statistic implies the average top-decile app produces about 155 times the revenue of the average bottom-90% app.,154.6x,S08-S09,(94.5/10)/(5.5/90).,Medium,"Ratio of group averages, not median app performance."
CL10,Observed fact,More than 90% of Play-distributing developers generated no revenue through Google Play Billing in CMA evidence.,>90%,S06,Regulatory evidence.,High for metric,"Does not mean no ad, external-payment, physical-goods, or cross-platform revenue."
CL11,Observed fact,"Apple listed 2,172,472 apps in 2025, but 1,365,649 appeared in top-10 results for at least 1,000 searches during the year.","2,172,472; 1,365,649",S02,Official report.,High,"Search visibility is an activity proxy, not monetization."
CL12,Observed fact,"On Google Play, 83% of listed apps had fewer than three ratings as of July 14, 2026.",83.0%,S04,AppBrain directory statistic.,Medium,Ratings are a noisy activity proxy and AppBrain is not Google.
CL13,Interpretation,The denominator changes the answer by more than an order of magnitude.,App: 0.98% all listed vs. 10.23% serious; developer: 1.55% vs. 15.41%,M01,Compare denominator model rows.,Medium,"The contrast is modeled; direction is robust, exact magnitude is not."
CL14,Derived calculation,"$9.99/month requires about 101 active subscribers for $1,000 gross, 118 for $1,000 proceeds at a 15% fee, and 140 for $1,000 owner profit under a lean cost model.",101; 118; 140,M02; S11-S12,Ceiling calculations in unit-economics table.,High conditional on assumptions,Ignores tax/refunds; profit model assumes $150 fixed and $0.25/subscriber variable cost.
CL15,Derived calculation,"At RevenueCat’s overall D60 RPI of $0.34, a launch cohort needs about 2,941 installs to accumulate $1,000 by day 60.","2,941 installs",M02; S07,CEILING(1000/0.34).,High conditional on metric,"Cumulative cohort revenue, not monthly recurring revenue."
CL16,Modeled estimate,"A base advertising app needs about 9,259 MAU for $1,000 monthly ad revenue.","9,259 MAU",M02,1000/(12 sessions x 2 ads x 90% fill x $5 eCPM / 1000).,Low-Medium,All ad inputs are scenarios; actual eCPMs and engagement vary widely.
CL17,Observed fact,iOS monetizes subscription installs earlier than Google Play in the RevenueCat cohort.,$0.42 vs. $0.16 D60 RPI; 2.6% vs. 0.9% D35 conversion,S07,Direct cohort statistics.,High within cohort,Long-run payer LTV narrows to $23.38 vs. $21.62.
CL18,Interpretation,"Public case studies cannot estimate prevalence because they are selected on disclosure, verification, or saleability.",N/A,S16-S21,Selection mechanism analysis.,High,Cases are retained for mechanisms and unit economics only.
CL19,Observed case,"A 16-product disclosed portfolio generated $855 in the latest 30 days and $555 aggregate MRR, with multiple apps at zero.",$855; $555,S20,Verified portfolio page.,Medium-High for current listing,Not representative; some products may not be mobile apps.
CL20,Observed case,GurjarApp reported 212k users but no current revenue and $100-$150 monthly costs.,0 current revenue; 212k users,S19,Verified revenue listing plus founder statement.,Medium,User count and cost are founder-supplied; revenue account is linked.
