Source ID,System / Topic,Fiscal year / as-of,Claim / data need,Source / document,Source type,URL,Page / section,Source units,Transformation / use,Reliability,Accessed
S01,NTTA,FY2025 / current,Current official record hub and report inventory,NTTA Financial Information,Authority primary records hub,https://www.ntta.org/about-us/financial-information,Annual reports; monthly reports; trust agreements; debt obligations,Mixed,Navigation and current-status verification,High,2026-09-02
S02,NTTA,"FY2025, year ended 2025-12-31","Audited net toll revenue, audited debt service, coverage and long-term debt",2025 NTTA System ACFR / Annual Summary,Audited financial report,https://www.ntta.org/sites/default/files/2026-06/06-25-2026_Digital-Annual-Report_2025.pdf,Annual Summary / financial highlights and debt tables,Dollars / $ millions,Use audited headline values; convert dollars to $mm where needed,High; direct PDF currently blocks crawler but is listed by NTTA,2026-09-02
S03,NTTA,"FY2025, year ended 2025-12-31","Detailed trust-basis revenue, O&M, debt-service and cash-flow categories",December 2025 Monthly Financial Report,Authority interim financial report; preliminary/unaudited,https://www.ntta.org/sites/default/files/2026-02/December%202025%20MFR.pdf,Revenue and coverage calculation; statement of cash flows,Dollars,"Divide by 1,000,000; use only for category split and reconcile to audited headlines",Medium-high; preliminary and subject to adjustment,2026-09-02
S04,NTTA,Current agreement,"Pooled system pledge, revenue waterfall and coverage tests",Amended and Restated NTTA Trust Agreement,Trust indenture,https://www.ntta.org/whatwedo/fin_invest_info/NTTAsystem/Documents/NTTAAmdRestdTrustagtwithFirstSupplement.pdf,"Revenue Fund, O&M, debt-service, reserve and toll-covenant provisions",Legal text,Classify debt and revenue as system-wide; do not assign all debt to one road,Controlling for covered bonds; confirm supplements for specific series,2026-09-02
S05,HCTRA,"FY2025, year ended 2025-09-30","Audited operating statement, cash flow, transfers, capital spending, debt and coverage",Harris County FY2025 ACFR — Toll Road Authority enterprise fund,Audited ACFR,https://auditor.harriscountytx.gov/portals/auditor/documents/ACFRs/HC%20Final%209-30-25.pdf,"pp. 46–47, 76, 82–87, 257, 272",Dollars / $000 in statistical schedules,"Divide dollars by 1,000,000; preserve statistical-table units and period labels",High,2026-09-02
S06,HCTRA / county toll law,Current code,Surplus-use authority and conditional toll-removal/handoff rule,Texas Transportation Code Chapter 284,Texas statute,https://statutes.capitol.texas.gov/Docs/TN/htm/TN.284.htm,§§284.0031 and 284.008,Legal text,Separate default rule from subsection (d) exception and project-specific orders,Controlling statute,2026-09-02
S07,HCTRA,2016-02-25,Project-specific use of §284.008(d) exception,Texas Transportation Commission meeting agenda,Commission agenda / order record,https://ftp.dot.state.tx.us/pub/txdot/commission/2016/0225/agenda.pdf,Agenda item concerning Harris County toll-road projects,Legal / board record,Use only for projects named in the order; no blanket inference,High for existence of order; inspect underlying order for exact facilities,2026-09-02
S08,CTRMA,FY2025 / current,"Audited-report availability, fiscal year, budgets and project records",CTRMA Financial Information,Authority primary records hub,https://www.mobilityauthority.com/business/finance/fin-inv-info/,Annual audited statements; monthly reports; capital plans; HB803,Mixed,Use as source inventory and to confirm FY July 1–June 30,High,2026-09-02
S09,CTRMA,"FY2025, year ended 2025-06-30","Detailed revenue, cash, O&M, depreciation, interest and debt categories",June 2025 CTRMA Financial Statements,Final monthly financial statements; unaudited,https://www.mobilityauthority.com/wp-content/uploads/2025/08/June-2025-CTRMA-Unaudited-Financial-Statements.pdf,Income statement pp. 1–6; balance sheet and cash flow pp. 7 onward,Dollars,"Divide by 1,000,000; do not substitute detailed unaudited totals for audited headlines",Medium-high; final but unaudited,2026-09-02
S10,CTRMA,FY2025,"Audited toll revenue, debt principal and debt-service coverage",FY2025 Annual Comprehensive Financial Report,"Audited ACFR, linked from authority hub",https://www.mobilityauthority.com/business/finance/fin-inv-info/,Annual Audited Financial Statements — FY2025 ACFR,Dollars / $ millions,Use audited headlines; detailed category split remains sourced to S09,High,2026-09-02
