id,facility,state,facility_type,legal_titleholder,public_sponsor,operator,billing_provider,contract_model,concessionaire,immediate_parent,ultimate_parent,equity_owners,revenue_claimant,revenue_risk_holder,debt_vehicle,revenue_sharing,contract_start,expiry_reversion,classification,as_of,source_ids,confidence,unresolved,summary
A01-001,E-470,Colorado,Toll road / beltway,E-470 Public Highway Authority,E-470 Public Highway Authority and eight member jurisdictions,E-470 Public Highway Authority,ExpressToll administered by E-470 Public Highway Authority,Conventional public authority,,,,,E-470 Public Highway Authority,E-470 Public Highway Authority,E-470 toll-revenue bonds,No private revenue share identified,,No concession expiry,Conventional public authority,2026-09-02,S01|S02|S03,Confirmed,Instrument-level debt and separately contracted vendors are outside the structural sample.,"Public authority holds the asset, operates the road, bills customers, receives tolls and bears demand risk."
A01-002,Pennsylvania Turnpike System,Pennsylvania,Turnpike system,Pennsylvania Turnpike Commission,Commonwealth-created Pennsylvania Turnpike Commission,Pennsylvania Turnpike Commission,Pennsylvania Turnpike Commission / E-ZPass network,Conventional public authority,,,,,Pennsylvania Turnpike Commission,Pennsylvania Turnpike Commission,Commission toll-revenue and related bonds,Public statutory and financing obligations; no private concession share,,No concession expiry,Conventional public authority,2026-09-02,S01|S04,Confirmed,Individual bond series and vendors are not reconstructed.,The commission controls the public system and its toll revenue.
A01-003,Illinois Tollway System,Illinois,Tollway system,Illinois State Toll Highway Authority,State of Illinois / Illinois State Toll Highway Authority,Illinois Tollway,Illinois Tollway / I-PASS,Conventional public authority,,,,,Illinois Tollway,Illinois Tollway,Authority toll-revenue bonds,No private concession share identified,,No concession expiry,Conventional public authority,2026-09-02,S01|S05,Confirmed,Facility-level service vendors omitted.,A public authority owns and operates the system and claims toll revenue.
A01-004,Florida’s Turnpike System,Florida,Turnpike system,State of Florida,Florida Department of Transportation,Florida’s Turnpike Enterprise,SunPass / Florida’s Turnpike Enterprise,Public enterprise within FDOT,,Florida Department of Transportation,State of Florida,,Florida’s Turnpike Enterprise / FDOT,State public toll system,Turnpike revenue bonds and public financing,Public-system obligations; no private concession share,,No concession expiry,Conventional public authority,2026-09-02,S01|S06,Confirmed,Facility-specific vendors and debt series omitted.,The Turnpike is a public enterprise inside FDOT.
A01-005,New Jersey Turnpike and Garden State Parkway,New Jersey,Turnpike and parkway system,New Jersey Turnpike Authority,State-created New Jersey Turnpike Authority,New Jersey Turnpike Authority,NJ E-ZPass / authority systems,Conventional public authority,,,,,New Jersey Turnpike Authority,New Jersey Turnpike Authority,Authority toll-revenue bonds,Public-system obligations,,No concession expiry,Conventional public authority,2026-09-02,S01|S07,Confirmed,Grouped row does not enumerate every contract.,One public authority controls both principal systems.
A01-006,New York State Thruway,New York,Thruway system,New York State Thruway Authority,New York State Thruway Authority,New York State Thruway Authority,New York E-ZPass / Tolls by Mail,Public-benefit corporation,,,,,New York State Thruway Authority,New York State Thruway Authority,Authority revenue bonds,Public-system obligations,,No concession expiry,Conventional public authority,2026-09-02,S01|S08,Confirmed,Service contracts omitted.,A public-benefit corporation owns and operates the system.
A01-007,Ohio Turnpike,Ohio,Turnpike,Ohio Turnpike and Infrastructure Commission,State-created commission,Ohio Turnpike and Infrastructure Commission,Commission / E-ZPass,Conventional public commission,,,,,Ohio Turnpike and Infrastructure Commission,Ohio Turnpike and Infrastructure Commission,Commission revenue bonds,Public-system obligations,,No concession expiry,Conventional public authority,2026-09-02,S01|S09,Confirmed,Bond-series detail omitted.,The public commission holds the operating and revenue stack.
A01-008,Maine Turnpike,Maine,Turnpike,Maine Turnpike Authority,Maine Turnpike Authority,Maine Turnpike Authority,Maine Turnpike Authority / E-ZPass,Conventional public authority,,,,,Maine Turnpike Authority,Maine Turnpike Authority,Authority revenue bonds,Public-system obligations,,No concession expiry,Conventional public authority,2026-09-02,S01|S10,Confirmed,Vendor and series-level debt detail omitted.,"The authority owns, operates and finances the turnpike."
A01-009,Oklahoma Turnpike Authority System,Oklahoma,Turnpike system,Oklahoma Turnpike Authority,Oklahoma Turnpike Authority,Oklahoma Turnpike Authority,PIKEPASS / Oklahoma Turnpike Authority,Conventional public authority,,,,,Oklahoma Turnpike Authority,Oklahoma Turnpike Authority,Authority turnpike revenue bonds,Public-system obligations,,No concession expiry,Conventional public authority,2026-09-02,S01|S11,Strong,Grouped system pledge and current operating allocations need deeper statement-level review.,The authority controls the statewide public system; narrow financing fields remain open.
A01-010,Maryland Transportation Authority Toll Facilities,Maryland,"Road, bridge and tunnel system",Maryland Transportation Authority,State of Maryland / Maryland Transportation Authority,Maryland Transportation Authority,DriveEzMD / E-ZPass Maryland,Public transportation authority,,,,,Maryland Transportation Authority,Maryland Transportation Authority,Authority revenue bonds,Public-system obligations,,No concession expiry,Conventional public authority,2026-09-02,S01|S12,Confirmed,Grouped row does not itemize every facility or contractor.,The authority controls Maryland’s principal tolled facilities.
A01-011,Central Florida Expressway System,Florida,Regional expressway system,Central Florida Expressway Authority,Central Florida Expressway Authority,Central Florida Expressway Authority,E-PASS / Central Florida Expressway Authority,Regional public authority,,,,,Central Florida Expressway Authority,Central Florida Expressway Authority,Authority revenue bonds,Public-system obligations,,No concession expiry,Conventional public authority,2026-09-02,S01|S13,Confirmed,Facility-specific vendors omitted.,A regional public authority owns and operates the system.
A01-012,North Texas Tollway Authority System,Texas,Regional tollway system,North Texas Tollway Authority,North Texas Tollway Authority member counties,North Texas Tollway Authority,TollTag / NTTA,Regional public authority,,,,,North Texas Tollway Authority,North Texas Tollway Authority,NTTA system revenue bonds,Public-system trust and statutory obligations,,No concession expiry,Conventional public authority,2026-09-02,S01|S14|S39,Confirmed,Road-level detail is delegated to the Texas investigation.,"NTTA holds the public ownership, operating, billing and revenue roles."
A01-013,Harris County Toll Road Authority System,Texas,County toll-road system,Harris County,Harris County,Harris County Toll Road Authority,EZ TAG / HCTRA,County public toll system,,Harris County,,,Harris County toll-road system,Harris County toll-road system,County toll-road revenue bonds and related obligations,Public-system uses and county-authorized transfers,,No concession expiry,Conventional public authority,2026-09-02,S01|S15|S39,Strong,"Exact current allocation among county entities, operating vendors and financing vehicles remains more detailed than this row.","The system is public, although county roles and cash allocations require more than one label."
A01-014,Bay Area State-Owned Toll Bridges,California,Seven state-owned toll bridges,State of California,State of California and regional statutory authorities,Caltrans operates and maintains,FasTrak customer-service and payment network,Public asset with divided public roles,,,,,Bay Area Toll Authority administers toll revenue,Public bridge system,BATA and public bridge financing,Public bridge and regional transportation obligations,,No private concession expiry,Divided public responsibility,2026-09-02,S01|S16|S17,Confirmed,Facility-specific allocation is grouped.,"The state owns the bridges, Caltrans operates them and BATA administers revenue."
A01-015,Massachusetts Turnpike,Massachusetts,Turnpike,Commonwealth of Massachusetts,Massachusetts Department of Transportation,MassDOT,E-ZPass MA / Pay By Plate MA,State DOT toll road,,Massachusetts Department of Transportation,Commonwealth of Massachusetts,,MassDOT,MassDOT / Commonwealth public system,Public transportation and turnpike obligations,Public-system obligations,,No concession expiry,Conventional public authority,2026-09-02,S01|S18,Confirmed,Legacy and current debt allocations are outside the sample.,"The Turnpike is a state-owned, MassDOT-operated toll road."
A01-016,"91 Express Lanes, Orange County",California,Express toll lanes,State highway corridor; OCTA holds the toll franchise and toll operations,State of California and Orange County Transportation Authority,Orange County Transportation Authority,91 Express Lanes customer-service system / interoperable FasTrak,Public after agency purchase of private franchise,,Orange County Transportation Authority,,,Orange County Transportation Authority,Orange County Transportation Authority,OCTA express-lane financing,Public franchise and financing obligations,Public purchase completed 2003,Current public operation; underlying franchise terms remain distinct,Returned to public control,2026-09-02,S01|S19,Strong,"Underlying highway title, franchise interest and current financing should not be collapsed into one deed-style owner.",A private franchise was purchased by OCTA in 2003 and now operates publicly.
