prospect_id,priority,category,prospect,recipient,address,evidence_url,target_asset,qualification,personalization,status,approval_required,sent_at
txtr-001,1,texas_transportation_reporting,The Dallas Morning News,Yamil Berard,https://www.dallasnews.com/author/Yamil%20Berard/,https://www.dallasnews.com/news/investigations/2024/10/23/a-look-at-texas-private-toll-roads/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Toll Trap reporter with continuing Texas toll-road policy, billing, safety, and public-finance coverage.","Offer a correction-ready ownership and billing matrix that reflects the SH 288 reversion and separates state title from concession rights.",draft_ready,yes,
txtr-002,1,texas_transportation_reporting,KUT 90.5,Nathan Bernier,https://www.kut.org/people/nathan-bernier-kut,https://www.kut.org/transportation/2024-05-20/who-pays-for-texas-highways,https://sulayman-bowles.dev/markets/who-owns-texas-toll-roads,"Austin transportation reporter who explains road funding and complex agency structures to drivers.","Lead with the Austin lookup rows for TxDOT, CTRMA, and SH 130 Segments 5-6.",draft_ready,yes,
txtr-003,1,texas_transportation_reporting,The Texas Tribune,Joshua Fechter / transportation desk,pitches@texastribune.org,https://www.texastribune.org/texas-transportation-roads-transit-infrastructure/,https://sulayman-bowles.dev/markets/who-owns-texas-toll-roads,"Statewide policy newsroom with a current transportation topic and an explicit story-pitch address.","Offer the matrix as a source aid for statewide ownership, concession, and billing explainers.",draft_ready,yes,
txtr-004,1,texas_transportation_reporting,KPRC 2 Investigates,Mario Diaz / 2 Investigates,https://www.click2houston.com/contact/,https://www.click2houston.com/news/local/2026/05/07/houston-drivers-paid-nearly-1-billion-in-tolls-so-why-are-they-still-stuck-in-traffic/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Recent HCTRA revenue and public-records investigation directly overlaps the matrix's revenue-claimant and billing fields.","Lead with HCTRA, TxDOT Houston systems, and former SH 288 rows.",draft_ready,yes,
txtr-005,1,texas_transportation_reporting,Houston Chronicle,Houston city desk,citydesk@houstonchronicle.com,https://www.houstonchronicle.com/newsroom_contacts/,https://sulayman-bowles.dev/markets/who-owns-texas-toll-roads,"Houston newsroom covers HCTRA, SH 288, TxDOT, public finance, and infrastructure accountability.","Offer the sourced SH 288 pre/post-termination ownership row and Houston billing map.",draft_ready,yes,
txtr-006,1,texas_transportation_reporting,Community Impact,Texas newsroom editors,https://communityimpact.com/corporate-contact/,https://communityimpact.com/corporate-contact/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Forty-plus Texas editions publish recurring transportation updates and maintain a routed newsroom-tip form.","Frame the CSV as a local reporting lookup for Austin, Houston, DFW, Fort Bend, and regional authority coverage.",draft_ready,yes,
txtr-007,1,texas_transportation_reporting,Texas Standard,Texas Standard newsroom,https://www.texasstandard.org/contact/,https://www.texasstandard.org/,https://sulayman-bowles.dev/markets/who-owns-texas-toll-roads,"Statewide public-radio program regularly explains Texas policy and infrastructure across regions.","Offer a statewide explainer hook: public pavement versus finite private rights.",draft_ready,yes,
txtr-008,1,texas_transportation_reporting,Houston Public Media,Newsroom,https://www.houstonpublicmedia.org/contact/,https://www.houstonpublicmedia.org/tag/transportation/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Public-media newsroom covers Houston transportation agencies and driver-facing policy.","Lead with HCTRA billing, TxDOT systems, and the former SH 288 concession.",research_ready,yes,
txtr-009,1,texas_transportation_reporting,Fort Worth Report,Newsroom,https://fortworthreport.org/contact/,https://fortworthreport.org/category/transportation/,https://sulayman-bowles.dev/research/texas-toll-road-ownership-2026.csv,"Local nonprofit newsroom covers North Texas transportation, development, and public accountability.","Lead with the three DFW concessions and NTTA's distinct public-system role.",research_ready,yes,
txtr-010,2,texas_transportation_reporting,San Antonio Report,Newsroom,https://sanantonioreport.org/contact/,https://sanantonioreport.org/tag/transportation/,https://sulayman-bowles.dev/markets/who-owns-texas-toll-roads,"Nonprofit newsroom covers regional mobility and the Austin-San Antonio corridor.","Lead with SH 130 Segments 5-6 ownership, bankruptcy history, and 2062 term.",research_ready,yes,
