source_id,title,publisher,date,source_class,quality_rank,key_use,url
S01,Research Dossier on Independent Mobile App Economics,User-supplied dossier,2026-07-14,Internal research dossier,Mixed,"Starting map of evidence, definitions, and cases. No standalone app-level dataset was available.",File Library document
S02,2025 App Store Transparency Report,Apple,2025,Official store data,A1,"2,172,472 apps; 166,899 removals; 1,365,649 apps appeared in top-10 results for at least 1,000 searches during the year.",https://www.apple.com/legal/app-store/transparency/2025/
S03,Number of Android apps on Google Play,AppBrain,2026-07-14,App directory / intelligence,C1,"1,887,487 available apps; 66.6k launched and 27.7k removed in June 2026.",https://www.appbrain.com/stats/number-of-android-apps
S04,Android and Google Play statistics,AppBrain,2026-07-14,App directory / intelligence,C1,"321,598 apps had any rating; 83% had fewer than three ratings; 3.5% were paid.",https://www.appbrain.com/stats
S05,Android apps with in-app billing,AppBrain,2026-07-14,App directory / intelligence,C1,"337,943 apps detected with in-app billing; library detection can miss apps.",https://www.appbrain.com/stats/in-app-billing-android-applications
S06,Strategic Market Status Investigation into Google mobile platform - final decision,UK Competition and Markets Authority,2025-10-22,Regulatory decision,A2,More than 90% of Play-distributing developers generated no revenue through Google Play Billing; ad-funded reach is material.,https://assets.publishing.service.gov.uk/media/68f8bf4780cf98c6e8ed8f83/Final_decision_report.pdf
S07,State of Subscription Apps 2026,RevenueCat,2026,Subscription transaction cohort,B1,"115k+ apps, $16b+, 1b+ transactions; only active subscription-revenue apps meeting thresholds. 17.3% of new apps ever hit $1k monthly revenue in first two years.",https://www.revenuecat.com/state-of-subscription-apps/
S08,State of In-App Subscriptions 2026,Adapty,2026,Subscription platform report,B1/C1,16k+ apps and $3b; median $492/month; top 10% capture 94.5%; lifetime bands for new apps.,https://adapty.io/state-of-in-app-subscriptions/
S09,Subscription revenue concentration analysis,Adapty,2026-03-19,Vendor analysis,C1,Top 10% capture 94.5%; new-app lifetime revenue bands. Marketing interpretation and report-page inconsistency require caution.,https://adapty.io/blog/app-subscription-revenue-concentration/
S10,Small Business Developers and App Creators on the App Store in 2022,Analysis Group / Apple,2023-05,Sponsored economic study,B2,"More than 90% small under <1m downloads and <$1m earnings; excludes developers never above 1,000 annual downloads.",https://www.apple.com/newsroom/pdfs/small-business-developers-and-app-creators-on-the-app-store-in-2022.pdf
S11,App Store Small Business Program,Apple Developer,Current 2026,Official fee rule,A1,15% reduced commission on paid apps and IAP for qualifying developers.,https://developer.apple.com/app-store/small-business-program/
S12,Google Play service fees,Google Play Console Help,Current 2026,Official fee rule,A1,"Current regional fee schedules; common first-$1m/subscription effective rate around 15%, with material regional/program variation.",https://support.google.com/googleplay/android-developer/answer/112622
S13,The App Economy Consolidates Before the Next Gold Rush,Developer Nation / VisionMobile,2014,Founder survey analysis,B2/C2,24% of commercially interested respondents earned zero; 23% under $100 per app/month; stale and self-selected.,https://www.developernation.net/blog/the-app-economy-consolidates-before-the-next-gold-rush/
S14,Google Play Is Not a Long Tail Market,Zhong and Michahelles,2013,Academic transaction study,B2,Historical evidence that app adoption/revenue behaves as a superstar market.,https://cocoa.ethz.ch/downloads/2013/06/None_p499-zhong.pdf
S15,Impact of Revenue Models on Mobile App Market Performance,Academic study,2022,Academic app-level study,B2,About two years of 330 newly launched US iOS games and productivity apps; monetization model effects differ by category.,https://doi.org/10.1016/j.ijresmar.2021.11.004
S16,lovelee revenue profile,TrustMRR,2026-07-14,Verified dashboard / marketplace,C2,"$2,413 MRR, 280 active subscriptions, $48,002 all-time; Superwall-linked; founder had 148.8k followers.",https://trustmrr.com/startup/lovelee
S17,TrackAI revenue profile,TrustMRR,2026-07-14,Verified dashboard / marketplace,C2,"$24,365 last 30 days; $20,342 MRR; 4,865 active subscriptions; 327k+ installs; for-sale and founder claims.",https://trustmrr.com/startup/trackai
S18,3AK Track & Field revenue profile,TrustMRR,2026-07-14,Verified dashboard / marketplace,C2,"$14,448 last 30 days; $10,082 MRR; 2,885 active subscriptions; founder claims mostly organic and ~80% margins.",https://trustmrr.com/startup/3ak-track-field
S19,GurjarApp revenue profile,TrustMRR,2026-07-14,Verified dashboard / marketplace,C2,"$2,071 all-time, no active subscriptions, 212k users, $100-$150/month stated costs.",https://trustmrr.com/startup/gurjarapp-social-media-platform
S20,Mehroz Sheikh founder portfolio,TrustMRR,2026-07-14,Verified dashboard / portfolio,C2,"16 startups; $3,878 total revenue, $855 last 30 days, $555 aggregate MRR; many apps at zero or low revenue.",https://trustmrr.com/founder/mehroz__sheikh
S21,Bibly revenue profile,TrustMRR,2026-07-14,Verified dashboard / marketplace,C2,"Case near $5k MRR with 1,053 active subscriptions; selection bias remains.",https://trustmrr.com/startup/bibly
