case_id,name,unit,category,monetization,launch_date,age_months_as_of_2026_07,last_30d_revenue_usd,mrr_usd,active_subscriptions,all_time_revenue_usd,users_or_installs,verification,acquisition_or_context,status_or_outcome,source_id,bias_note
C01,lovelee,Single app,Relationship / lifestyle,Subscription,2025-10,9,2657,2413,280,48002,Not disclosed,Superwall API verified,Audience-led launch; founder profile 148.8k followers,Current; sustained history not established,S16,"High attribution, severe disclosure bias."
C02,TrackAI,Single app,Health / calorie tracking,Subscription,2025-06,13,24365,20342,4865,,327k+ installs,RevenueCat verified,Organic rankings; Android recently launched; sale listing,Profitable since month two per founder; ~95% margin claim,S17,Current revenue verified; profit/margin are founder claims.
C03,3AK Track & Field,Single app,Sports training,Subscription,2025-12,7,14448,10082,2885,,Not disclosed,RevenueCat verified,Social and App Store organic; Meta $50-$100/day stated,Seasonal dip; ~80% margin claim; for sale,S18,Strong current case; sale and success selection.
C04,GurjarApp,Single app,Community / social,Mixed / ads potential,2020-02,77,0,0,0,2071,212k users,Stripe verified,Weak activity; insufficient funds/time,Zero current revenue; $100-$150 monthly costs; for sale,S19,Counterexample: users do not imply monetization.
C05,Mehroz Sheikh portfolio,16-product portfolio,Utilities / productivity / tools,Mixed,Unknown,,855,555,,3878,16 startups,Multiple linked revenue accounts,Portfolio iteration,Many products at $0-$50 monthly; aggregate below $1k,S20,Useful developer-level left tail; not a representative portfolio.
C06,Noise Reducer,Portfolio app,Audio / video utility,Subscription or IAP,Unknown,,144,137,,1200,Not disclosed,TrustMRR portfolio listing,Unknown,Low but nonzero current revenue,S20,One app in a 16-product portfolio.
C07,QR Scanner,Portfolio app,Utility,Paid/IAP unknown,Unknown,,18,18,,179,Not disclosed,TrustMRR portfolio listing,Unknown,Low current revenue,S20,Illustrates common utility-app tail.
C08,Invoice Maker,Portfolio app,Business utility,Subscription/IAP unknown,Unknown,,7,9,,63,Not disclosed,TrustMRR portfolio listing,Unknown,Low current revenue,S20,Below even nominal software/tool costs.
C09,MuslimFocus,Portfolio app,Focus / religion,Subscription unknown,Unknown,,0,2,,41,Not disclosed,TrustMRR portfolio listing,Unknown,Near-zero current revenue,S20,A maintained idea can remain commercially negligible.
C10,Revo Reminder,Portfolio app,Productivity,Unknown,Unknown,,0,0,,0,Not disclosed,TrustMRR portfolio listing,Unknown,Zero revenue,S20,Explicit zero-revenue app in disclosed portfolio.
C11,Bibly,Single app,Bible / religion,Subscription,2025-12,7,3306,5264,1053,,Not disclosed,RevenueCat verified,Unknown,Founder claims $138k annual revenue and 70% margin,S21,MRR and last-30-day revenue differ; recurrence definitions matter.
C12,Habit Pixel,Single app,Habit tracking,Subscription,Unknown,8,,1000,,28,Not disclosed,Founder self-report,Launch/community,Reached $1k MRR after ~8 months,S01,Lower-confidence threshold case from dossier.
C13,Record Phone Calls,Single app,Utility,Subscription/IAP,Unknown,,2900,,,,"7,800 downloads/month",Founder self-report,Search/organic unknown,"$2,080 stated profit; 93% margin claim",S01,Profit and revenue period need independent verification.
C14,Tic Tac Toe,Single app,Game,Ads/IAP,Unknown,,700,,,,50k installs,Founder self-report,Store distribution,Stated $373 profit and 71% margin,S01,Small game case; revenue basis and month unclear.
C15,HiFace,Single app,Photo / face analysis,Subscription/IAP,Unknown,,37962,,,455754,500k MAU,Founder / marketplace disclosure,Organic/paid unknown,About $30k monthly net profit and 96% margin claimed,S01,Large outlier; not near-threshold.
C16,ARTMVSTD portfolio,30-app portfolio,Mixed,Mixed,Unknown,,22000,22000,,,30 apps,Founder self-report,Portfolio strategy,Developer-level success concentrated across many apps,S01,Strong portfolio illustration; no representative denominator.
C17,GetSumm,Single app,AI / summarization,Subscription,Unknown,,10,10,1,,Not disclosed,Founder disclosure,Unknown,One active subscriber,S01,Near-zero case; useful against success-story bias.
C18,Snap Search,Single app,Search / utility,Subscription/IAP,Unknown,,200,200,,,Not disclosed,Founder disclosure,Unknown,Low current MRR,S01,Below threshold and likely sensitive to maintenance time.
