term,definition,analytic_note
Independent developer,"A person or team of no more than five full-time-equivalent workers that has economic control of the app, owns or controls the IP and revenue rights, and is not controlled by a parent company, public company, client, employer, or institutional investor. Contractors are allowed.",Primary analytical population; tighter than “small developer.”
Small app publisher,"A publisher with no more than 10 FTEs and less than $1 million of trailing-12-month gross app revenue, with no controlling parent.",Broader than independent; includes small funded companies.
Consumer mobile app,"A native or hybrid iOS or Android product whose primary user is an individual consumer. Excludes internal enterprise tools, client-owned apps, mobile web products, and apps that merely facilitate physical-goods sales.",Keeps app economics distinct from commerce enabled by an app.
Active app,"An app that is available and functional and either was updated in the prior 24 months or had a substantive usage, search, download, rating, or review signal in the prior 12 months.",Sensitivity: 12-month update rule vs. 24 months.
Commercial app,"An app with a live monetization path, or documented external monetization attributable to the app.","Includes subscription, paid download, IAP, advertising, and commission models."
Meaningful commercial attempt,"An independent consumer app live for at least 90 days with functional monetization and at least one of: 1,000 lifetime installs; 10 ratings/reviews; $100 lifetime revenue; $500 launch or marketing spend; or 100 documented post-launch founder hours.","Excludes templates, tests, abandoned prototypes, brand companions, and client work."
Monthly revenue,"Trailing-30-day customer receipts attributable to digital app access or use, in-app advertising, or app-mediated commission, net of refunds and indirect tax but before platform/payment fees and operating costs.",The report’s default headline basis: gross revenue.
Sustained monthly revenue,The threshold is met in each of three consecutive calendar months.,"Six-month persistence is shown as a sensitivity, not the default."
Gross revenue,"Customer billings attributable to the app, net of refunds and indirect tax, before store/payment fees and operating costs.",Comparable to consumer spend only when tax/refund treatment is explicit.
Developer proceeds,"Gross revenue less app-store/payment fees and withholding, before hosting, APIs, support, contractors, acquisition, and personal tax.",Apple and Google also use “proceeds” or “earnings” in program-specific ways.
Profit,"Developer proceeds less hosting, APIs, support, contractors, paid acquisition, content, and tools. Founder labor and personal tax are excluded from accounting profit; an economic-profit sensitivity values founder labor at market rates.",Public revenue screenshots rarely establish profit.
Full-time replacement income,"$5,000 per month of owner profit before personal tax.","Sensitivity points: $3,000 and $8,333 per month."
