model,scenario,target,required_units,unit_name,formula,assumptions
Monthly subscription,$4.99/month,"$1,000 gross/month",201,active monthly subscribers,"CEILING(1000/4.99,1)",No refunds or tax.
Monthly subscription,$4.99/month,"$1,000 proceeds/month",236,active monthly subscribers,"CEILING(1000/(4.99*0.85),1)",15% platform/payment fee.
Monthly subscription,$4.99/month,"$1,000 owner profit/month",289,active monthly subscribers,"CEILING((1000+150)/(4.99*0.85-0.25),1)","15% fee, $150 fixed cost, $0.25 variable cost per active subscriber."
Monthly subscription,$9.99/month,"$1,000 gross/month",101,active monthly subscribers,"CEILING(1000/9.99,1)",No refunds or tax.
Monthly subscription,$9.99/month,"$1,000 proceeds/month",118,active monthly subscribers,"CEILING(1000/(9.99*0.85),1)",15% platform/payment fee.
Monthly subscription,$9.99/month,"$1,000 owner profit/month",140,active monthly subscribers,"CEILING((1000+150)/(9.99*0.85-0.25),1)","15% fee, $150 fixed cost, $0.25 variable cost per active subscriber."
Monthly subscription,$19.99/month,"$1,000 gross/month",51,active monthly subscribers,"CEILING(1000/19.99,1)",No refunds or tax.
Monthly subscription,$19.99/month,"$1,000 proceeds/month",59,active monthly subscribers,"CEILING(1000/(19.99*0.85),1)",15% platform/payment fee.
Monthly subscription,$19.99/month,"$1,000 owner profit/month",69,active monthly subscribers,"CEILING((1000+150)/(19.99*0.85-0.25),1)","15% fee, $150 fixed cost, $0.25 variable cost per active subscriber."
Annual subscription (recognized monthly),$29.99/year,"$1,000 gross/month",401,active annual subscribers,"CEILING(1000/(29.99/12),1)",Straight-line revenue recognition; ignores cash timing.
Annual subscription (recognized monthly),$29.99/year,"$1,000 proceeds/month",471,active annual subscribers,"CEILING(1000/((29.99/12)*0.85),1)",15% fee.
Annual subscription (recognized monthly),$29.99/year,"$1,000 owner profit/month",614,active annual subscribers,"CEILING((1000+150)/((29.99/12)*0.85-0.25),1)","15% fee, $150 fixed, $0.25 variable per active subscriber."
Annual subscription (recognized monthly),$49.99/year,"$1,000 gross/month",241,active annual subscribers,"CEILING(1000/(49.99/12),1)",Straight-line revenue recognition; ignores cash timing.
Annual subscription (recognized monthly),$49.99/year,"$1,000 proceeds/month",283,active annual subscribers,"CEILING(1000/((49.99/12)*0.85),1)",15% fee.
Annual subscription (recognized monthly),$49.99/year,"$1,000 owner profit/month",350,active annual subscribers,"CEILING((1000+150)/((49.99/12)*0.85-0.25),1)","15% fee, $150 fixed, $0.25 variable per active subscriber."
Annual subscription (recognized monthly),$79.99/year,"$1,000 gross/month",151,active annual subscribers,"CEILING(1000/(79.99/12),1)",Straight-line revenue recognition; ignores cash timing.
Annual subscription (recognized monthly),$79.99/year,"$1,000 proceeds/month",177,active annual subscribers,"CEILING(1000/((79.99/12)*0.85),1)",15% fee.
