source_id,title,publisher_or_origin,source_type,primary_or_secondary,url_or_identifier,publication_date,accessed_date,time_period_covered,claims_supported,important_definitions,limitations,notes
S1,System Hardware & Components — NVIDIA NVL72 AI Factory,NVIDIA,vendor reference architecture,primary,https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/components.html,2026-05-18 update,2026-08-16,Current GB300 NVL72 architecture,72 B300 GPUs per rack; 18 trays; up to 142 kW rack power; liquid cooling; in-rack components,"Rack nameplate is “up to” power, not measured annual average draw",Vendor specification; no measured fleet-level utilization or facility boundary,Primary hardware anchor for the conversion model
S2,Overview — NVIDIA NVL72 AI Factory,NVIDIA,vendor reference architecture,primary,https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/overview.html,2026-05-18 update,2026-08-16,Current GB300 NVL72 architecture,One scalable unit equals one NVL72 rack; 72 GPUs and 36 Grace CPUs; tested scale to eight SUs,Scalable unit (SU),"Reference architecture, not a site build plan",Used to establish rack and tested-cluster units
S3,Appendix B – Node Configurations — NVIDIA NVL72 AI Factory,NVIDIA,bill of materials,primary,https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/appendix-node-configurations.html,2026-05-18 update,2026-08-16,One to eight scalable units,"Eight-SU bill of materials: 576 GPUs, 44 compute switches, 11 converged switches, 16 OOB switches",Endpoint and switch counts by SU,BOM table names SN5600 while another page names SN5610; only tested through eight SUs,The inconsistency is recorded rather than silently reconciled
S4,Network Logical Architecture — NVIDIA NVL72 AI Factory,NVIDIA,network reference architecture,primary,https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/network-logical-architecture.html,2026-05-18 update,2026-08-16,Current GB300 Ethernet scale-out architecture,"Separate compute, converged, storage, customer, support, and OOB roles; super-spine introduced around 1,024 nodes",External IT overhead includes more than the small-cluster switch BOM,"Architecture design, not measured site power",Prevents linear eight-SU network scaling from being treated as a gigawatt design
S5,Networking Hardware — NVIDIA NVL72 AI Factory,NVIDIA,network hardware reference,primary,https://docs.nvidia.com/enterprise-reference-architectures/nvl72-ai-factory/latest/networking-hardware.html,2026-05-18 update,2026-08-16,Current GB300 Ethernet architecture,Networking page identifies SN5610 for compute/converged fabrics and SN2201 for OOB,Switch model identification,Conflicts with SN5600 naming in BOM/logical tables,Source of the switch-model contradiction
S6,Spectrum-4 SN5000 Switch Systems Specifications,NVIDIA,equipment specification,primary,https://networking-docs.nvidia.com/sn5000hw/specifications,2026-06-15 update,2026-08-16,SN5600 and SN5610 hardware,SN5600 940 W typical passive-cable power; SN5610 900 W passive and 2.08 kW with 64 optical modules,Typical chassis power differs materially with optics,Does not reveal actual port population or traffic-dependent site draw,Used to bound documented external switch power
S7,SN2201 and SN2201_M Specifications,NVIDIA,equipment specification,primary,https://networking-docs.nvidia.com/sn2201hw/specifications,2026-05-26 update,2026-08-16,SN2201 management switch,SN2201 typical passive-cable power of 98 W; SN2201_M 100 W,OOB management switch power,Typical device power only,Used in eight-SU switch lower-bound calculation
S8,United States Data Center Energy Usage Report: 2025 Update,Lawrence Berkeley National Laboratory,peer-reviewed government laboratory report,primary analytical research,https://doi.org/10.71468/P1RP4F,2026-06-18,2026-08-16,2017–2030; data through late 2025,Capacity definitions; 50% illustrative interconnection utilization; 1.145 AI-serving PUE in 2024; training/inference utilization ranges; average-power formula,"Interconnection, power capacity, PUE, rated power, utilization, installed base",National bottom-up model; not a GB300 campus design; some inputs proprietary,Core source for definitions and annual-energy treatment
S9,GPUs account for about 40% of power usage in AI data centers,Epoch AI,specialist analytical article,secondary analysis,https://epoch.ai/data-insights/gpus-power-usage-in-ai-data-centers,2025-12-18,2026-08-16,GB200-era peak design,Peak-layer decomposition and 1.14 total-IT/server overhead sense-check,Peak PUE; server vs total IT vs facility power,GB200-centric and peak-only; not annual utilization or GB300 site conversion,"Used as an external magnitude check, not a primary input"
S10,Total cost of ownership of a one-gigawatt AI data center,Epoch AI,specialist analytical model,secondary analysis,https://epoch.ai/data-insights/ai-datacenter-cost-breakdown,2026-05-14,2026-08-16,Stylized current hyperscaler design,A prominent 1 GW model explicitly means 1 GW of IT nameplate and assumes PUE 1.14 and 71% utilization,"IT nameplate, not facility or interconnection capacity",GB200 stylized cost model; different research question,"Strong competitor, used to demonstrate boundary sensitivity"
S11,Introducing the Frontier Data Centers Hub,Epoch AI,database methodology announcement,secondary open-source intelligence,https://epoch.ai/latest/introducing-the-frontier-data-centers-hub,2025-11-04,2026-08-16,Large U.S. AI campuses through late 2025,Hub tracks total facility power; facility/IT ratio around 1.3; staged commissioning complicates completed-capacity claims,Total facility power; staged buildout,Inference from imagery and permits; not a project’s audited electrical one-line,Competitor and staging reference
