"source_id","label","url","original_draft_reference_date","release_verification_scope"
"1","Uniswap governance — UNIfication executed proposal","https://vote.uniswapfoundation.org/proposals/93","2026.08.16","Executed proposal code and 40M two-year authorization rechecked on 2026-09-06."
"2","Ethereum transaction — 100 million UNI transfer to 0xdead","https://etherscan.io/tx/0x091f0083242a777d55821c1189e568d6d033d9da501b75087dc736fa143d2c1e","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"3","Uniswap governance repository — contracts/Uni.sol","https://github.com/Uniswap/governance/blob/master/contracts/Uni.sol","2026.08.16","Official contract source rechecked on 2026-09-06. This is not a fresh block-specific totalSupply RPC read."
"4","Uniswap Developers — UNI Token","https://developers.uniswap.org/docs/ecosystem/governance/uni","2026.08.16","Token mechanics and holder-rights documentation rechecked on 2026-09-06."
"5","Uniswap governance forum — protocol fee expansion","https://gov.uniswap.org/t/temp-check-protocol-fee-expansion-eight-more-chains-and-remaining-mainnet-v3-pools/26035","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"6","OpenZeppelin — UNIfication Fees and UNIVesting audit","https://www.openzeppelin.com/news/uniswap-labs-unification-fees-univesting-audit","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"7","Burnalytics — UNI burn tracker","https://www.burnalytics.com/asset/uniswap","2026.08.16","Reported August 5 tracker balance retained in draft; original response absent and live page changed."
"8","MrNasdog — UNI Inflation Analysis","https://mrnasdog.com/research/uni/inflation","2026.08.16","Reported August 1 90-day window retained in draft; underlying classified export not preserved."
"9","Causal Effects of Protocol-Fee Changes on Liquidity Provision in AMMs","https://arxiv.org/abs/2607.08525","2026.08.16","Paper abstract and date rechecked on 2026-09-06; no independent empirical replication."
"10","Uniswap Foundation governance — proposal 95","https://vote.uniswapfoundation.org/proposals/95","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"11","Uniswap Foundation governance — proposal 96","https://vote.uniswapfoundation.org/proposals/96","2026.08.16","Reference retained from the August research draft; not independently rechecked for this release."
"12","Uniswap governance — v4 vote reference (activation not verified here)","https://app.uniswap.org/vote/2/9","2026.08.16","Vote UI did not expose execution details during release check; v4 activation is not asserted."
