claim_id,claim,claim_type,importance,source_ids,calculation_reference,status,confidence,notes
C1,A GB300 NVL72 rack contains 72 B300 GPUs across 18 compute trays and can require up to 142 kW.,observed,load-bearing,"S1,S2",,verified,high,Vendor specification; “up to” is preserved.
C2,"The article’s reference case treats 1 GW as total facility nameplate, not IT nameplate or an interconnection request.",interpretation,load-bearing,"S8,S10,S11",M1,verified,high,Boundary is explicit and alternatives are calculated separately.
C3,"At PUE 1.145 and 10% external IT overhead, 1 GW facility nameplate converts to 873.36 MW of IT and 793.97 MW of GB300 rack nameplate.",derived,load-bearing,"S1,S8,S9",M1,verified,high,Formula independently recomputed.
C4,"The reference case supports about 5,591 GB300 racks and 402,574 installed B300 GPUs.",derived,load-bearing,"S1,S8",M1,verified,high,"Fractional racks are modeling output; deployment count should be read as approximately 5,591."
C5,"The sensitivity band is about 355,819 to 434,856 GPUs across PUE 1.25/overhead 14% to PUE 1.10/overhead 6%.",scenario,load-bearing,"S1,S8,S9",M1,verified,medium-high,"Assumption range is scenario design, not a measured industry interval."
C6,"If 1 GW instead means IT nameplate, the same 10% external IT overhead supports about 460,948 B300 GPUs.",derived,load-bearing,"S1,S10",M2,verified,high,PUE is not applied because the boundary is already IT.
C7,"A 1 GW interconnection request at 50% average utilization corresponds to 500 MW average facility demand and 4.38 TWh/year, but does not determine installed GPU count.",derived,load-bearing,S8,M3,verified,medium-high,50% is LBNL’s illustrative estimate and is not universal.
C8,The eight-SU reference BOM includes 55 compute/converged switches and 16 OOB switches for 576 GPUs.,observed,supporting,S3,,verified,high,44 + 11 high-speed switches; 16 OOB.
C9,"Using SN5600 passive-cable power, those external switches total at least 53.27 kW, 4.69% of eight racks’ 1.136 MW nameplate.",derived,supporting,"S3,S6,S7",M4,verified,high,"Lower bound excludes optics, storage, support servers, and larger-cluster tiers."
C10,"Using the SN5610 fully optical typical figure as a comparator, switch power rises to 115.97 kW, 10.21% of rack nameplate.",scenario,supporting,"S3,S5,S6,S7",M4,verified,medium,"Comparator, not a claim that all ports are populated or that BOM naming is resolved."
C11,NVIDIA’s current documentation is internally inconsistent on SN5600 versus SN5610 naming.,observed,supporting,"S3,S4,S5",,verified,high,Contradiction is disclosed.
C12,"At roughly 1,024 nodes and above, NVIDIA introduces a super-spine, so eight-SU network power cannot be linearly extrapolated to a gigawatt campus.",observed,load-bearing,S4,,verified,high,Supports range rather than point estimate for external IT overhead.
C13,The reference fleet provides 3.53 billion powered-on GPU-hours per year before utilization.,derived,supporting,S1,M5,verified,high,"Installed GPUs × 8,760 hours."
C14,"At 80% training utilization, the reference fleet yields about 2.82 billion full-load-equivalent GPU-hours; at 20% inference utilization, about 0.705 billion.",scenario,load-bearing,S8,M5,verified,medium-high,Computational utilization is not revenue utilization.
C15,"Installed accelerators, average electrical draw, computational utilization, and paid utilization are separate quantities.",interpretation,load-bearing,S8,,verified,high,Central analytical distinction.
C16,"No exact installed-fleet estimate is defensible when a source says only “1 GW” without defining boundary, status, and time basis.",interpretation,load-bearing,"S8,S10,S11",,verified,high,Article’s stopping rule.
