source_id,claim,source_type,fiscal_or_transaction_date,source_url,reliability,notes
S01,SH 288 termination amount and public post-termination structure,Texas Transportation Commission minutes / TxDOT agreements,2024-07-30 / 2024-10-08,https://www.txdot.gov/content/dam/docs/commission/2024/0730/minutes.pdf,Controlling primary record,Minute Order 116738; payment preserved in source units.
S02,"HCTRA FY2025 accounting, cash-flow, debt, and transfer figures",Audited county ACFR,FY ended 2025-09-30,https://auditor.harriscountytx.gov/portals/auditor/documents/ACFRs/HC%20Final%209-30-25.pdf,Audited primary record,"Use enterprise-fund cash flows and debt notes, not countywide totals."
S03,"Ferrovial Texas concession metrics, distributions, terms, and TxDOT payments",SEC-filed sponsor Factbook,FY2025 / filed 2026,https://www.sec.gov/Archives/edgar/data/1468522/000162828026032618/ferrovial-factbook2026_s.htm,Primary issuer disclosure,"Keep 100% project metrics, Ferrovial share, and TxDOT payments separate."
S04,"NTTA FY2025 revenue, debt, coverage, refinancing, and Trust structure","Authority ACFR, monthly report, Trust, and disclosures",FY ended 2025-12-31,https://www.ntta.org/about-us/financial-information,Audited and controlling authority records,Monthly debt service is preliminary; algebraic residual is not a traced fund allocation.
S05,CTTS and Grand Parkway same-basis FY2025 schedules,TxDOT statutory annual toll report,FY ended 2025-08-31,https://www.txdot.gov/content/dam/docs/division/gov/hb-803-report-fy-2025.pdf,Official primary report,Only these two rows are used in the normalized $100 comparison.
S06,"CTRMA FY2025 audited revenue, debt, and coverage",Authority ACFR and monthly financial reports,FY ended 2025-06-30,https://www.mobilityauthority.com/business/finance/fin-inv-info/,Audited authority records,Audit-to-monthly bridge remains unresolved; no normalized allocation.
S07,Fort Bend County Toll Road Authority FY2025 figures,Authority audited financial report,FY2025,https://transparencydocs.fortbendcountytx.gov/Traditional_Finances/2025/FY2025_FBCTRA.pdf,Audited primary record,Separate from FBGPTRA; total expense is not cash O&M.
S08,Fort Bend Grand Parkway Toll Road Authority separate structure,Authority audited financial report,FY2025,https://transparencydocs.fortbendcountytx.gov/Traditional_Finances/2025/FY2025_FBGPTRA.pdf,Audited primary record,Exact page-level headline extraction remains a publication gate.
S09,SH 130 concession term and original finance structure,TxDOT executed agreement and federal project profile,Current contract / original finance,https://www.txdot.gov/business/road-bridge-maintenance/alternative-delivery/sh130/executed-agreements.html,Controlling contract path,Current ultimate-equity chain remains unresolved.
S10,County toll-removal path,Texas statute,Current law checked 2026-09-02,https://tcss.legis.texas.gov/resources/TN/htm/TN.284.htm,Controlling law,Use §284.008(c)-(d); do not assign the exception to a named project without the final order.
S11,Regional tollway authority surplus authority,Texas statute,Current law checked 2026-09-02,https://tcss.legis.texas.gov/resources/TN/htm/TN.366.htm,Controlling law,Use §366.037 and surplus definition §366.003(9-a).
S12,Regional mobility authority surplus authority,Texas statute,Current law checked 2026-09-02,https://tcss.legis.texas.gov/resources/TN/htm/TN.370.htm,Controlling law,Use §370.174.
S13,TxDOT toll-project surplus authority,Texas statute,Current law checked 2026-09-02,https://tcss.legis.texas.gov/resources/TN/htm/TN.228.htm,Controlling law,Use §228.006.
