verified_at,prospect_name,source_url,contact_or_submission_url,fit_status,evidence,next_action,risk_boundary
2026-06-25,Search Engine Land,https://searchengineland.com/contact,https://searchengineland.com/contact,ready,"Contact page accepts feature/source pitches and asks for evidence-backed claims and clear marketer relevance.","Pitch AI crawler policy as source-backed feature/source note.","Do not pitch as guaranteed AI-search ranking or DR impact."
2026-06-25,Search Engine Journal,https://www.searchenginejournal.com/writers-guidelines-for-search-engine-journal/,https://www.searchenginejournal.com/contact/,gated,"Contributor guidelines say contributors are invited by editorial team only and ad hoc slots require pre-approved topics.","Use contact page only for a concise source/expert pitch; do not assume guest post access.","Do not frame as open guest-post placement."
2026-06-25,SEOFOMO,https://hub.seofomo.co/,https://news.seofomo.co/submit-story/,ready_with_login,"SEOFOMO Hub says SEO or AI-search resources can be submitted through SEOFOMO News; submit page requires login.","Submit AI crawler policy source map after logging in and confirming community rules.","Submission is moderated and may be nofollow or declined."
2026-06-25,SEOFOMO News community rules,https://news.seofomo.co/community-rules/,https://news.seofomo.co/submit-story/,ready_with_login,"Rules require up-to-date SEO/digital marketing relevance, primary sources where possible, no AI spam, and public factual information.","Use factual title and disclose that the resource is owned by Sulayman Bowles.","Do not submit promotional or duplicate content."
2026-06-25,TechnicalSEO.com,https://technicalseo.com/tools/,https://technicalseo.com/,research,"Tools page includes technical SEO tools such as robots.txt testing and AI Bot Access Tester, but no public resource-submission path was found.","Keep as research target; look for a real maintainer/contact route before outreach.","Do not infer that it accepts external tools."
2026-06-25,Austin Chamber,https://www.austinchamber.com/member-news,https://www.austinchamber.com/member-news,membership_gated,"Member News page says Chamber members can submit news through the member portal.","Use only if Void Agency or a related entity has membership access.","Do not use as a public free-placement target."
2026-06-25,Austin Chamber contact,https://www.austinchamber.com/about/contact,https://www.austinchamber.com/about/contact,membership_or_media_route,"Contact page lists general inquiries, membership, sponsorship, media, and economic-development routes.","Ask about membership/news eligibility before any Austin benchmark submission.","Do not send a mass pitch to unrelated inboxes."
2026-06-25,Austin Business Journal,https://www.bizjournals.com/austin/about-us,https://www.bizjournals.com/austin/about-us,ready_story_tip,"About page lists editorial staff and newsroom roles for Austin Business Journal.","Pitch Austin crawlability benchmark only after benchmark exists with local data and no private shaming.","Do not pitch a thin service page as news."
2026-06-25,Built In Austin,https://www.builtinaustin.com/,https://builtin.com/expert-contributors,research_gated,"Homepage links to Austin tech news, company pages, and a Become an Expert Contributor path; expert-contributor page was blocked to crawler fetch.","Keep as contributor/profile research target and verify from browser/account before outreach.","Do not treat as verified open submission."
2026-06-25,UT Austin Student Government,https://studentgovernment.utexas.edu/legislative-branch,https://studentgovernment.utexas.edu/legislative-branch,existing_mention,"Legislative Branch page currently lists University-Wide: Sulayman Bowles with a Contact link.","No link request unless profile/update path legitimately exists; use as corroborating public source.","Do not expose personal contact details in outreach notes."
